code,partners
abgthr1,crgthr1:65:0 orgthr1:63:0 orbthr1:59:0 abythr1:56:50 spwthr1:56:0 grygrt1:54:0 spgthr1:53:0 orhthr1:52:0 cocthr1:51:0 rtathr1:51:0 afrthr1:49:0 woothr:49:0 pavthr1:49:0 gysthr1:49:0 rubthr1:48:0 ecuthr1:48:0 whnrob1:48:0 usathr1:47:0 sonthr1:47:0 islthr24:47:0 chithr2:47:0 palthr1:47:0 redwin:46:0 pabthr1:46:0 purgre2:37:50
abhori1,blhori1:83:85 bltori1:65:7 dahori1:65:1 wbhori1:64:0 afgori2:63:0 blwori1:60:0 olbori1:60:0 ingori1:60:1 eugori2:60:0 phiori1:59:0 greori1:58:0 blnori1:57:4 datori1:57:0 grhori1:57:2 slbori1:56:0 whlori1:56:0 broori1:54:0 satori1:53:0 marori2:53:0 timori1:52:0 serori1:51:0 burori2:50:0 silori1:49:0 ausfig1:49:0
absbil1,cosbil1:73:67 blsbil1:67:0 grewoo2:55:33 viowoo1:52:0 blbwoo2:50:0 forwoo1:50:0 whhwoo1:46:0
absfin1,plsfin1:79:42 mosfin1:59:9 btsfin1:59:2 codfin1:58:4 batsee1:56:9 wwdfin1:56:18 pilfin1:53:0 blcfin1:53:0 gycfin1:53:0 ciwfin1:53:0 rbsfin1:53:0 daejun:53:1 riwfin1:52:0 wtsfin1:52:0 cincon1:52:7 plcsee1:52:7 bcwfin2:52:0 cantow:52:1 casfin1:51:0 parsee1:51:0 cowfin1:50:0 unifin1:50:0 blhhem1:50:0 plctan1:49:0
abttyr1,tuttyr1:62:0 ybttyr1:60:0 bkctit1:59:0 pcttyr1:57:0 rbctyr1:54:0 whbtyr1:53:0 sootyr1:53:0 smcpew1:53:0 whtpew1:52:0 rivtyr1:52:0 agitit1:52:0 jelcht1:51:0 tortyr1:51:0 lottyr1:51:0 wbctyr1:51:0 y01036:51:0 whttyr1:51:0 cintyr1:50:0 pictyr1:50:0 hamfly:50:0 pattyr2:50:0 fiediu1:50:0 blctyr2:49:0 gobcht1:49:0 gobsal1:42:100
abycat1,laywar2:54:0 ruvwar2:53:0 dohthb1:51:0 marwar1:50:0 banwar2:49:0 afhbab1:48:0 afhbab3:48:0 blackc1:47:0 barwar1:47:0 reswar1:46:0 balwar1:46:0 garwar1:45:0 weowar2:44:0 darwar1:44:0 gobful1:43:0 cypwar1:43:0 brnwar1:42:0 eaowar2:42:0 triwar1:42:0 busbla1:41:0 subwar8:41:0 menwar1:40:0 yemwar1:40:0 ruewar1:40:0
abylon1,grilon1:70:0 rotlon1:69:0 fuelon2:67:0 yetlon1:66:0 ortlon1:66:0 panlon1:64:0 shalon1:61:0 nilpip1:58:0 afrpip1:56:0 strpip1:56:0 corpip1:55:0 woopip1:55:0 lobpip1:55:0 uplpip1:54:0 parpip1:54:0 sogpip1:54:0 helpip1:54:0 auspip3:53:0 ocbpip1:53:0 malpip1:53:0 yebpip2:52:0 moupip1:52:0 lolpip1:52:0 amepip2:52:0
abyrol2,eurrol1:78:62 librol2:65:25 ratrol2:65:0 indrol2:55:0 rucrol2:52:0 blbrol1:48:0 puwrol1:45:0 indrol3:44:0 wookin1:36:6 bltrol1:35:0 brbrol1:34:0 blbkin4:33:6 dollar1:29:0 purrol1:24:0
abysis1,hoosis1:68:70 yeccan1:66:20 capcan1:64:0 syrser1:64:0 comcan:64:0 eurser1:60:0 fifser1:58:0 andsis1:58:0 citfin1:58:0 bkhcan2:57:0 yebgre4:57:0 blcsis2:56:0 corfin1:56:0 thbsis1:56:10 lesgol:55:0 olisis1:55:0 tibser1:55:0 blcsis1:54:0 amegfi:54:0 afrcit1:54:0 eursis:53:0 papcan1:53:0 bkhgre1:53:0 yebsis1:53:0
abyslf1,angslf1:64:0 fisfly1:61:0 afdfly1:59:44 hercha1:58:0 nobfly1:58:0 olifly1:56:0 wheslf1:55:22 swafly3:54:0 chafly1:54:0 combul2:53:11 marfly1:53:0 palfly2:52:0 rugfly1:52:0 rutfly6:51:0 lipfly1:51:0 chtjuf2:50:0 taifly1:50:0 afgfly1:50:0 brbfly2:50:0 cicfly1:50:0 eyjfly1:50:0 bunfly1:50:0 kasfly1:50:0 negjuf1:50:0 moocha1:47:22
abythr1,olithr2:93:54 afrthr1:79:29 usathr1:69:0 blhthr1:69:0 rubthr1:66:4 marthr2:66:0 whtthr1:65:0 blbthr1:64:0 pavthr1:64:0 clcrob:64:0 abethr1:64:4 lawthr1:63:0 karthr1:63:0 cocthr1:63:0 chithr1:63:1 hauthr1:63:0 grethr1:63:2 chbthr2:62:2 ecuthr1:62:0 islthr24:61:0 mourob1:61:4 whnrob1:61:0 austhr1:61:0 whcthr1:60:0
abywhe1,wbweye1:60:0 ayweye3:58:0 afywhe3:56:0 brrwhe3:56:0 afywhe4:56:0 whbwhe3:55:0 brrwhe9:55:0 brrwhe6:55:0 brrwhe10:55:0 gnbwhe1:55:0 satwhe1:54:0 madwhe1:54:0 brrwhe8:53:0 satwhe2:53:0 ciweye1:53:0 bkcwhe1:52:0 maswhe3:52:0 maswhe2:52:0 burwhe1:52:0 loweye2:52:0 ayweye1:52:0 afywhe1:51:0 yelwhe1:51:0 ceywhe1:51:0
abywoo1,carwoo1:72:50 brbwoo1:66:0 ligwoo3:65:0 stiwoo1:65:0 melwoo1:58:0 fibwoo1:58:0 phiwoo1:58:0 bncwoo3:58:0 chewoo3:57:0 bncwoo2:56:0 grywoo1:56:0 yecwoo1:56:0 gabwoo1:56:0 pygwoo1:55:0 gyhwoo1:55:0 beawoo1:54:0 gycwoo1:54:0 spbwoo2:53:0 oliwoo2:53:0 benwoo1:53:0 reiwoo1:53:0 dowwoo:53:0 gocwoo3:52:0 syrwoo1:52:0 mcptit1:45:50
acafly,yebfly:88:28 leafly:80:22 eawpew:75:30 wilfly:74:4 wesfly:70:3 aldfly:70:4 pinfly1:68:0 dusfly:67:0 hamfly:65:0 gryfly:60:0 blcfly1:59:0 whtfly1:59:0 yelfly1:59:1 carela1:58:0 easpho:57:4 swafly1:57:0 orcfly1:56:0 graela3:56:0 bubfly:56:0 tropew3:56:0 mouela1:56:4 broela1:56:0 brcfly1:55:0 sadfly1:55:0
acowoo,haiwoo:74:23 nutwoo:74:19 blcwoo1:70:6 whfwoo1:68:0 rehwoo:66:6 whiwoo1:64:0 gofwoo:64:3 beawoo2:63:0 gocwoo1:63:0 gonwoo1:63:0 whhwoo:63:7 rebwoo:62:0 purwoo1:62:0 dowwoo:62:10 yetwoo2:62:0 lewwoo:61:2 yefwoo1:61:0 rebsap:61:6 recwoo1:61:2 rensap:60:1 yebsap:60:2 hofwoo1:59:0 pilwoo:59:13 gilwoo:59:0
acrtot1,erttyr1:66:0 flapyt1:65:0 bnbpyt1:64:0 yuttyr1:64:0 bbttyr1:63:0 jottyr1:63:0 drbpyt1:62:0 pettyr1:62:0 btttyr2:62:0 snttyr2:62:0 whbtot1:61:0 wettyr1:60:0 bbttyr2:60:0 kattyr1:59:0 pvttyr1:57:0 snttyr1:57:0 cbttyr1:57:0 blbfly1:56:0 wesfly:56:0 zittyr1:56:0 fotpyt1:55:0 plcela1:55:0 sadfly1:55:0 btttyr1:55:0 yebspa1:39:100
adepen1,genpen1:79:73 chipen2:67:14 yeepen1:58:0 fiopen1:56:0 rocpen2:55:0 snapen1:54:0 humpen1:53:0 magpen1:52:0 jacpen1:52:0 galpen1:51:0 bicpen1:50:0 rocpen4:48:0 emppen1:45:8 kinpen1:44:3 litpen1:38:0 macpen1:32:3 roypen1:27:0
adewar1,barwar:70:0 stlwar:65:0 tropar:63:0 norpar:62:18 grawar:59:0 yetwar:58:0 olcwar1:58:0 kirwar:57:0 magwar:57:0 pluwar1:56:0 towwar:55:0 btnwar:54:0 herwar:54:0 gchwar:54:0 arrwar1:54:0 pinwar:53:0 banana:53:73 yerwar:52:0 prawar:52:0 chswar:52:0 cerwar:52:0 bkpwar:52:0 btywar:51:0 brcred1:51:0 rethaw:28:9
adtdov1,dutdov1:67:0 ortdov:61:0 spodov:58:0 rindov:58:0 reedov1:57:0 wwcdov1:57:0 aswpig1:56:0 afmdov1:55:0 eutdov:55:0 laudov1:55:33 eucdov:55:0 bolpig1:55:0 afepig1:54:0 delpig1:54:0 satpig1:54:0 campig1:54:0 phicod1:53:0 lemdov2:53:0 latdov1:53:0 spwpig1:52:0 recdov1:52:0 whnpig1:52:0 rudpig:52:0 afcdov1:52:0 bhwdov1:36:67
afbduc1,yebduc1:70:17 ambduc:65:17 mallar3:63:56 layduc:62:0 pabduc1:62:0 suntea1:60:0 isbduc1:59:6 chetea1:57:0 blksco1:54:0 whcpin:53:0 brotea1:53:0 spbduc:53:0 spetea3:53:0 motduc:52:0 nezsca1:52:0 rebduc1:52:6 mexduc:52:0 andtea1:51:0 gretea1:51:0 auitea1:51:0 whwduc1:51:0 bertea1:50:0 melduc1:50:0 caitea1:50:0
afbfly1,wtbfly1:72:67 wtcfly1:52:0 ducfly1:51:0 wbcfly1:49:0 blpfly1:46:33 faifly1:36:0 gyhcaf1:33:0 yebfan1:29:0 citcaf1:25:0
afbowl1,pesowl1:80:88 junowl1:67:0 capowl1:66:0 crpowl:66:0 chbowl1:65:0 sjoowl1:65:0 asbowl1:65:0 supowl1:63:0 yupowl1:63:0 amapyo1:63:0 pepowl1:62:0 eupowl1:61:0 fepowl:60:0 leapyo1:60:0 aupowl1:60:0 nopowl:59:0 tapowl1:59:0 andhao1:58:0 lowowl1:58:0 nswowl:58:0 jasowl1:58:0 souboo8:58:0 morepo2:58:0 cosowl1:57:0 afsowl1:57:12
afbtit2,blutit:79:55 gretit1:64:44 grbtit1:55:0 yeltit2:52:0 blltit1:52:0 azutit2:51:0 coatit2:50:1 paltit2:49:0 yectit1:49:0 bkcchi:49:0 wiltit1:48:0 borchi2:48:0 carchi:47:0 indtit1:47:0 chbchi:47:0 britit:47:0 yebtit4:47:0 eletit2:47:0 tuftit:47:0 blctit4:47:0 mexchi:47:0 stbtit2:46:0 bkbtit1:46:0 sictit1:46:0
afbwar1,camscw1:68:0 grswar1:67:0 knswar1:66:0 afswar1:65:0 cibwar1:65:0 jrswar1:63:0 bretai1:63:0 hirwar2:62:4 banscw1:61:0 leswar1:61:87 spobuw3:58:0 jabwar1:57:0 wwswar1:57:0 lbbwar1:57:0 dabwar1:57:0 brbwar2:57:0 rubwar1:56:0 benbuw1:56:0 gryemt1:55:0 litgra1:54:0 tincis1:54:9 margra1:54:0 fernbi1:54:0 taibuw1:54:0
afcdov1,eucdov:77:69 rindov:67:2 vindov1:65:1 afmdov1:64:0 phicod1:64:0 reedov1:61:1 eutdov:60:0 recdov1:58:1 iscdov1:56:0 laudov1:56:1 ortdov:52:0 pigdov1:52:0 adtdov1:52:0 crgdov1:51:0 wepdov1:50:0 spodov:50:1 basdov1:50:0 wwcdov1:49:0 peadov1:49:0 zebdov:49:0 dutdov1:48:0 eswdov1:47:0 crepig1:47:0 bbwdov1:46:0 rocpig:46:23
afcfly1,bhcfly1:62:0 leafly2:60:0 molfly1:56:0 spemon1:54:0 slamon1:54:0 frnmon1:52:0 brbfly1:51:0 melfly1:51:0 vanfly1:51:0 pabmon1:50:0 elepai5:50:0 chtfly1:50:0 resfly1:49:0 hoomon1:49:0 satfly1:49:0 piemon1:49:0 spwmon1:49:0 blbmon2:49:0 biafly1:49:0 stbfly1:49:0 papfly1:49:0 blnmon1:48:0 samfly1:48:0 flomon1:48:0 afpfly1:44:50 revbul:42:25 afdfly1:41:25
afdfly1,spofly1:79:44 swafly3:68:5 asbfly1:67:0 dasfly:66:1 subfly2:65:0 asbfly:64:1 brbfly2:64:0 bnsfly1:63:0 gamfly1:62:0 rutfly6:61:0 whgfly1:60:0 olifly1:60:0 dusfly:60:16 gysfly1:59:0 subfly3:58:0 ligfly2:58:0 ashfly1:57:33 angslf1:56:0 ferfly1:56:0 negjuf1:56:0 lipfly1:56:0 chtjuf2:56:0 kasfly1:55:0 sumfly1:55:0
afdwar1,asdwar1:61:0 spewar2:57:33 menwar1:53:0 grewhi1:53:50 leswhi4:51:0 reswar1:50:0 subwar6:50:0 balwar1:48:0 sarwar1:48:0 subwar8:48:0 triwar1:47:0 weowar2:47:0 marwar1:47:0 banwar2:47:0 eaowar2:46:0 brnwar1:46:0 cypwar1:46:0 easwar1:46:0 ruewar1:45:0 darwar1:45:0 tarbab1:42:0 barwar1:42:0 yemwar1:42:0 whbful1:42:0 crelar1:37:17
afecuc1,klacuc1:80:100 didcuc1:59:0 asecuc1:51:0 shbcuc1:49:0 comcic4:48:0 viocuc1:48:0 369157:46:0 blecuc1:46:0 rtbcuc1:45:0 hobcuc1:44:0 yetcuc1:42:0 brucuc1:42:0 lobcuc1:41:0 pebcuc1:39:0 babcuc2:38:0 yebcuc:38:0 bkbcuc:37:0 placuc1:37:0 placuc3:37:0 molcuc1:37:0 mohcuc1:36:0 malhac1:36:0 chbcuc3:36:0 phhcuc1:36:0
afepig1,spwpig1:67:0 aswpig1:65:0 campig1:64:0 anwpig1:63:0 satpig1:63:0 niwpig1:62:0 whnpig1:61:0 rampig1:61:0 bolpig1:60:0 delpig1:60:0 brnpig1:60:0 whhpig1:60:0 ceywop1:60:0 metpig1:59:0 rocpig:59:0 compig1:57:0 laupig1:57:0 marpig1:56:0 pampig1:56:0 jawpig1:55:0 yelpig1:55:0 paipig1:55:0 tropig1:55:0 spepig1:55:0
affeag1,osprey:59:29 mafeag1:56:3 panvul1:54:20 whteag:48:3 lefeag1:47:0 wbseag1:46:0 pafeag1:46:0 solsee1:45:0 gyhfie1:44:0 afrhae1:44:18 baleag:43:2 mareag1:40:11 stseag:38:0 taweag1:34:6 whbvul1:33:3 croeag1:30:0 himgri1:29:0 soleag1:29:0 indvul1:29:0 augbuz2:28:5 blchaw1:28:0 ruegri1:28:2 brseag1:27:0 grseag1:27:0
afffin,rebfir2:79:71 jamfir1:73:29 babfir1:61:0 brnfir1:61:0 blbfir1:61:0 malfir1:60:0 rocfir1:60:0 bkffir1:59:0 abcwin1:53:0 pittwi1:52:0 comwax:52:0 brotwi1:51:0 pettwi1:51:0 purgre2:50:0 rfcwin1:50:0 orcwax:50:0 grwpyt1:50:0 fabwax1:50:0 crifin1:50:0 crrwax1:49:0 kanwax1:49:0 gyholi1:49:0 rewpyt1:49:0 redava:49:0
afffly1,wbffly1:71:0 tesfly1:66:0 ashfly1:64:0 grytif1:63:0 chafly1:59:0 wheslf1:57:0 gyttif1:56:0 olifly1:54:0 andsha1:53:0 lipfly1:53:0 dubfly2:52:0 phimar1:52:0 magrob:52:0 casfly1:52:0 grybus1:51:33 kasfly1:51:0 fisfly1:51:0 ficale3:51:0 mouwhe2:50:0 afrshf1:50:67 ligfly2:50:0 afgfly1:50:0 mouwhe5:49:0 rerwhe1:49:0
afgfly1,spofly1:68:33 marfly1:62:3 palfly2:61:10 ashfly1:59:13 famcha1:56:0 gryfly:56:2 afdfly1:56:23 subfly3:53:0 wheslf1:52:3 siccha1:52:0 grytif1:52:0 hercha1:51:0 moocha1:51:0 somcha1:51:0 gamfly1:51:7 pacblf1:51:0 abyslf1:50:0 grybus1:50:0 chafly1:50:0 isashr1:50:3 afffly1:50:0 whbbus4:49:0 reisee2:49:3 whtsto2:49:0
afghor1,hemhor1:66:4 crohor1:65:14 pabhor1:63:0 afphor3:60:0 brahor1:59:11 srbhor1:57:14 wrbhor2:57:7 vddhor1:56:18 inghor2:56:4 sybhor1:56:11 maghor2:55:0 monhor1:55:7 trbhor1:54:4 ceghor1:54:0 eybhor1:53:0 rebhor1:52:4 drbhor1:50:0 bkdhor1:49:0 yechor1:47:0 refmou1:47:4 rbdhor1:47:0 piphor1:46:0 whchor1:45:0 jachor1:44:0
