species_code,com_name,class_name
43000,Rufous Bettong,mammalia
palswi2,Ameline Swiftlet,aves
marswi,Mariana Swiftlet,aves
himswi2,Himalayan Swiftlet,aves
seyswi1,Seychelles Swiftlet,aves
masswi1,Mascarene Swiftlet,aves
y00731,White-nest Swiftlet,aves
mouswi2,Mountain Swiftlet,aves
molswi3,Moluccan Swiftlet,aves
caiswi1,Caroline Islands Swiftlet,aves
polswi1,Tahiti Swiftlet,aves
blnswi1,Black-nest Swiftlet,aves
phiswi1,Philippine Swiftlet,aves
balswi1,Bare-legged Swiftlet,aves
marswi2,Marquesan Swiftlet,aves
mayswi1,Mayr's Swiftlet,aves
papswi1,Three-toed Swiftlet,aves
palswi1,Palau Swiftlet,aves
monswi2,Mossy-nest Swiftlet,aves
atiswi1,Atiu Swiftlet,aves
whrswi2,White-rumped Swiftlet,aves
ausswi1,Australian Swiftlet,aves
indswi1,Indian Swiftlet,aves
uniswi1,Uniform Swiftlet,aves
volswi1,Volcano Swiftlet,aves
whiswi1,Whitehead's Swiftlet,aves
andswi1,Andean Swift,aves
whtswi1,White-tipped Swift,aves
whtswi,White-throated Swift,aves
chfspa1,Chestnut-flanked Sparrowhawk,aves
afrgos1,African Goshawk,aves
creauk,Crested Auklet,aves
parauk,Parakeet Auklet,aves
leaauk,Least Auklet,aves
whiauk,Whiskered Auklet,aves
gygscr1,Gray-green Scrubwren,aves
bimwar1,Bicolored Mouse-Warbler,aves
papscr1,Papuan Scrubwren,aves
bufscr1,Buff-faced Scrubwren,aves
vogscr1,Vogelkop Scrubwren,aves
pabscr1,Pale-billed Scrubwren,aves
hansun1,Handsome Sunbird,aves
moasun1,Apo Sunbird,aves
fotsun1,Fork-tailed Sunbird,aves
elesun1,Elegant Sunbird,aves
whfsun1,White-flanked Sunbird,aves
flasun1,Flaming Sunbird,aves
gousun1,Mrs. Gould's Sunbird,aves
mansun1,Maroon-naped Sunbird,aves
fitsun1,Fire-tailed Sunbird,aves
linsun1,Lina's Sunbird,aves
