species_code,com_name,class_name
noisni1,North Island Snipe,aves
snisni1,Snares Snipe,aves
soisni1,South Island Snipe,aves
chisni1,Chatham Islands Snipe,aves
banana,Bananaquit,aves
1632452,Slender Tree Frog,amphibia
blnwoo1,Black-necked Woodpecker,aves
norfli,Northern Flicker,aves
grcwoo1,Gray-crowned Woodpecker,aves
camfli1,Campo Flicker,aves
gilfli,Gilded Flicker,aves
ferfli1,Fernandina's Flicker,aves
grbwoo3,Green-barred Woodpecker,aves
norfli1,Guatemalan Flicker,aves
berfli1,Bermuda Flicker,aves
chifli1,Chilean Flicker,aves
spbwoo1,Spot-breasted Woodpecker,aves
crmwoo2,Crimson-mantled Woodpecker,aves
goowoo1,Golden-olive Woodpecker,aves
andfli1,Andean Flicker,aves
41392,Seychelles Sheath-tailed Bat,mammalia
spvear1,Sparkling Violetear,aves
lesvio1,Lesser Violetear,aves
brvear1,Brown Violetear,aves
wvvear1,White-vented Violetear,aves
grnvie1,Mexican Violetear,aves
crebob3,Crested Bobwhite,aves
crebob2,Spot-bellied Bobwhite,aves
bltbob1,Black-throated Bobwhite,aves
norbob,Northern Bobwhite,aves
rebmou1,Red-backed Mousebird,aves
whbmou1,White-backed Mousebird,aves
whhmou1,White-headed Mousebird,aves
spemou2,Speckled Mousebird,aves
1632550,Slender bleating tree frog,amphibia
1632554,Bleating Tree Frog,amphibia
1658277,Ruddy Tree Frog,amphibia
1632558,screaming tree frog,amphibia
1632559,Desert Tree Frog,amphibia
pltswi1,Plume-toed Swiftlet,aves
cavswi3,Bornean Swiftlet,aves
gloswi1,Glossy Swiftlet,aves
ridswi1,Ridgetop Swiftlet,aves
cavswi2,Cave Swiftlet,aves
gyrswi5,Gray-rumped Swiftlet,aves
chiswi1,Christmas Island Swiftlet,aves
draswi1,Drab Swiftlet,aves
tenswi1,Tenggara Swiftlet,aves
pygswi2,Pygmy Swiftlet,aves
satswi1,Satin Swiftlet,aves
bowsht1,Bower's Shrikethrush,aves
grysht1,Gray Shrikethrush,aves
rufsht1,Little Shrikethrush,aves
soosht1,Sooty Shrikethrush,aves
sansht2,Sandstone Shrikethrush,aves
1075514,Mantled Guereza,mammalia
43526,King Colobus,mammalia
daujac1,Daurian Jackdaw,aves
eurjac,Eurasian Jackdaw,aves
lottyr1,Long-tailed Tyrant,aves
pattyr2,Patagonian Tyrant,aves
65194,Panama Rocket Frog,amphibia
21108,Pratt's Rocket Frog,amphibia
whnpig1,White-naped Pigeon,aves
whcpig1,White-collared Pigeon,aves
siwpig1,Silvery Wood-Pigeon,aves
rampig1,Rameron Pigeon,aves
bolpig1,Bolle's Pigeon,aves
delpig1,Eastern Bronze-naped Pigeon,aves
niwpig1,Nilgiri Wood-Pigeon,aves
pabpig1,Yellow-eyed Pigeon,aves
spepig1,Speckled Pigeon,aves
spwpig1,Speckled Wood-Pigeon,aves
brnpig1,Western Bronze-naped Pigeon,aves
jawpig1,Black Wood-Pigeon,aves
ryupig1,Ryukyu Pigeon,aves
laupig1,Laurel Pigeon,aves
whhpig1,White-headed Pigeon,aves
snopig1,Snow Pigeon,aves
rocpig,Rock Pigeon,aves
satpig1,Sao Tome Pigeon,aves
stodov1,Stock Dove,aves
sompig1,Somali Pigeon,aves
yelpig1,Yellow-legged Pigeon,aves
anwpig1,Andaman Wood-Pigeon,aves
cowpig1,Common Wood-Pigeon,aves
compig1,Comoro Pigeon,aves
aswpig1,Ashy Wood-Pigeon,aves
pacpig1,Pale-capped Pigeon,aves
hilpig1,Hill Pigeon,aves
campig1,Cameroon Pigeon,aves
marpig1,Maroon Pigeon,aves
ceywop1,Sri Lanka Wood-Pigeon,aves
tropig1,Trocaz Pigeon,aves
afepig1,Afep Pigeon,aves
bonpig1,Bonin Pigeon,aves
metpig1,Metallic Pigeon,aves
ecgdov1,Ecuadorian Ground Dove,aves
crgdov1,Croaking Ground Dove,aves
begdov2,Blue-eyed Ground Dove,aves
incdov,Inca Dove,aves
pbgdov1,Plain-breasted Ground Dove,aves
cogdov,Common Ground Dove,aves
pigdov1,Picui Ground Dove,aves
scadov1,Scaled Dove,aves
rugdov,Ruddy Ground Dove,aves
scttan1,Scarlet-throated Tanager,aves
1596110,Amazon Hog-nosed Skunk,mammalia
925950,Molina's Hog-nosed Skunk,mammalia
41877,American Hog-nosed Skunk,mammalia
blfcot1,Black-faced Cotinga,aves
capcon1,Capped Conebill,aves
biccon1,Bicolored Conebill,aves
giacon1,Giant Conebill,aves
cincon1,Cinereous Conebill,aves
whbcon1,White-browed Conebill,aves
whecon1,White-eared Conebill,aves
pebcon1,Pearly-breasted Conebill,aves
rubcon1,Rufous-browed Conebill,aves
blbcon1,Blue-backed Conebill,aves
chvcon1,Chestnut-vented Conebill,aves
tamcon1,Tamarugo Conebill,aves
42280,Common Wildebeest,mammalia
387844,whitish meadow katydid,insecta
118961,Short-winged Meadow Katydid,insecta
499199,Conocephalus exemptus,insecta
129261,Slender Meadow Katydid,insecta
466317,Long-winged Conehead,insecta
372673,Black-kneed Meadow Katydid,insecta
371757,Woodland Meadow Katydid,insecta
460870,Blackish Meadow Katydid,insecta
whrfly,White-ringed Flycatcher,aves
lebfly2,Lemon-browed Flycatcher,aves
yetfly2,Yellow-throated Flycatcher,aves
thsfly2,Three-striped Flycatcher,aves
slagna1,Slaty Gnateater,aves
chbgna1,Chestnut-belted Gnateater,aves
chcgna1,Chestnut-crowned Gnateater,aves
rufgna2,Ceara Gnateater,aves
rufgna3,Rufous Gnateater,aves
blbgna1,Black-bellied Gnateater,aves
blcgna1,Black-cheeked Gnateater,aves
astgna1,Ash-throated Gnateater,aves
hoogna1,Hooded Gnateater,aves
chbgna3,Black-breasted Gnateater,aves
rubhon2,Rufous-banded Honeyeater,aves
ruthon1,Rufous-throated Honeyeater,aves
gryhon1,Gray Honeyeater,aves
cobtan2,Cone-billed Tanager,aves
bawtan1,Black-and-white Tanager,aves
whtpew1,White-throated Pewee,aves
tropew4,Northern Tropical Pewee,aves
cubpew1,Cuban Pewee,aves
tropew3,Southern Tropical Pewee,aves
olsfly,Olive-sided Flycatcher,aves
smcpew1,Smoke-colored Pewee,aves
hispew1,Hispaniolan Pewee,aves
leapew1,Lesser Antillean Pewee,aves
darpew1,Dark Pewee,aves
blapew1,Blackish Pewee,aves
ochpew1,Ochraceous Pewee,aves
jampew1,Jamaican Pewee,aves
grepew,Greater Pewee,aves
tropew2,Tumbes Pewee,aves
wewpew,Western Wood-Pewee,aves
eawpew,Eastern Wood-Pewee,aves
carpar,Carolina Parakeet,aves
134841,Southern Ornate Nursery Frog,amphibia
24771,Northern Ornate Nursery Frog,amphibia
andsha1,Andaman Shama,aves
mamrob1,Madagascar Magpie-Robin,aves
whrsha17,Maratua Shama,aves
blasha1,Black Shama,aves
indrob1,Indian Robin,aves
whrsha5,Sri Lanka Shama,aves
whbsha1,White-browed Shama,aves
whrsha,White-rumped Shama,aves
phimar1,Philippine Magpie-Robin,aves
whvsha1,White-vented Shama,aves
whrsha11,Kangean Shama,aves
larsha1,Larwo Shama,aves
rutsha2,Rufous-tailed Shama,aves
magrob,Oriental Magpie-Robin,aves
semrob1,Seychelles Magpie-Robin,aves
whrsha16,White-crowned Shama,aves
vissha1,Visayan Shama,aves
abyrol2,Abyssinian Roller,aves
indrol3,Indochinese Roller,aves
indrol2,Indian Roller,aves
librol2,Lilac-breasted Roller,aves
blbrol1,Blue-bellied Roller,aves
eurrol1,European Roller,aves
rucrol2,Purple Roller,aves
ratrol2,Racket-tailed Roller,aves
puwrol1,Purple-winged Roller,aves
molcus1,Moluccan Cuckooshrike,aves
piecus1,Pied Cuckooshrike,aves
boycus1,Boyer's Cuckooshrike,aves
stbcus1,Stout-billed Cuckooshrike,aves
melcus1,South Melanesian Cuckooshrike,aves
andcus1,Andaman Cuckooshrike,aves
burcus1,Buru Cuckooshrike,aves
babcuc24,Sulu Cuckooshrike,aves
javcus1,Oriental Cuckooshrike,aves
mincuc1,Mindanao Cuckooshrike,aves
larcuc3,Malayan Cuckooshrike,aves
suncus1,Sunda Cuckooshrike,aves
whrcus1,White-rumped Cuckooshrike,aves
yeecus1,Barred Cuckooshrike,aves
hoocus1,Hooded Cuckooshrike,aves
larcuc1,Indian Cuckooshrike,aves
grocus1,Ground Cuckooshrike,aves
babcuc19,Mindoro Cuckooshrike,aves
bkfcus1,Black-faced Cuckooshrike,aves
babcuc5,Visayan Cuckooshrike,aves
whbcus1,White-bellied Cuckooshrike,aves
halcus1,Halmahera Cuckooshrike,aves
walcus1,Wallacean Cuckooshrike,aves
slacus1,Slaty Cuckooshrike,aves
babcus1,Bar-bellied Cuckooshrike,aves
cercus1,Cerulean Cuckooshrike,aves
melcus3,North Melanesian Cuckooshrike,aves
seypar1,Seychelles Parrot,aves
blapar1,Lesser Vasa Parrot,aves
levpar1,Comoro Black Parrot,aves
vaspar1,Greater Vasa Parrot,aves
mabwhi1,Maroon-backed Whistler,aves
sansht1,Sangihe Whistler,aves
blkvul,Black Vulture,aves
whrman1,White-ruffed Manakin,aves
whtman1,White-throated Manakin,aves
whbman2,White-bibbed Manakin,aves
whwcho1,White-winged Chough,aves
whttre3,White-throated Treecreeper,aves
paptre1,Papuan Treecreeper,aves
41369,Chestnut Sac-winged Bat,mammalia
ruckin,Ruby-crowned Kinglet,aves
yebshr1,Yellow-billed Shrike,aves
whnrav1,White-necked Raven,aves
piecro1,Pied Crow,aves
litcro1,Little Crow,aves
amecro,American Crow,aves
capcro2,Cape Crow,aves
slbcro12,Sulawesi Crow,aves
comrav,Common Raven,aves
hoocro1,Hooded Crow,aves
y00743,Carrion Crow,aves
ausrav1,Australian Raven,aves
thbrav1,Thick-billed Raven,aves
chirav,Chihuahuan Raven,aves
somcro2,Somali Crow,aves
slbcro2,Sunda Crow,aves
flocro1,Flores Crow,aves
rook1,Rook,aves
brhcro1,Brown-headed Crow,aves
hawcro,Hawaiian Crow,aves
tamcro,Tamaulipas Crow,aves
torcro3,Bismarck Crow,aves
jamcro1,Jamaican Crow,aves
marcro1,Mariana Crow,aves
whncro1,White-necked Crow,aves
labcro1,Large-billed Crow,aves
boucro1,Bougainville Crow,aves
litrav1,Little Raven,aves
cupcro1,Cuban Palm-Crow,aves
neccro1,New Caledonian Crow,aves
cubcro1,Cuban Crow,aves
torcro2,Torresian Crow,aves
fiscro,Fish Crow,aves
palcro1,Hispaniolan Palm-Crow,aves
labcro15,Philippine Jungle Crow,aves
slbcro7,Palawan Crow,aves
fatrav1,Fan-tailed Raven,aves
brnrav1,Brown-necked Raven,aves
slbcro6,Samar Crow,aves
slbcro5,Sierra Madre Crow,aves
sincro1,Sinaloa Crow,aves
houcro1,House Crow,aves
forrav1,Forest Raven,aves
colcro1,Collared Crow,aves
grycro1,Gray Crow,aves
pipcro1,Piping Crow,aves
bancro1,Banggai Crow,aves
lobcro1,Long-billed Crow,aves
slbcro3,Violet Crow,aves
guacro1,Guadalcanal Crow,aves
dusbro1,Dusky Broadbill,aves
74205,Townsend's Big-eared Bat,mammalia
1572860,Rufous-naped Lark,aves
caclar1,Cape Clapper Lark,aves
1572871,Sentinel Lark,aves
eaclar1,Eastern Clapper Lark,aves
1573649,Red-winged Lark,aves
plalar1,Plains Lark,aves
kidlar1,Kidepo Lark,aves
higlar1,Highland Lark,aves
runlar7,Plateau Lark,aves
runlar2,Russet Lark,aves
1583707,Somali Lark,aves
blmfin1,Black-masked Finch,aves
lalbru1,Lark-like Brushrunner,aves
recfin1,Red-crested Finch,aves
pilfin1,Pileated Finch,aves
grbtur1,Great Blue Turaco,aves
souant1,Southern Antpipit,aves
rinant2,Ringed Antpipit,aves
malkin1,Malachite Kingfisher,aves
whbkin1,White-bellied Kingfisher,aves
mapkin1,Madagascar Pygmy Kingfisher,aves
malkin2,Malagasy Kingfisher,aves
cosswa1,Coscoroba Swan,aves
wcrcha1,White-crowned Robin-Chat,aves
bsrcha1,Blue-shouldered Robin-Chat,aves
chrcha1,Chorister Robin-Chat,aves
whrcha1,White-headed Robin-Chat,aves
wbrcha2,White-browed Robin-Chat,aves
rcrcha1,Red-capped Robin-Chat,aves
scrcha1,Snowy-crowned Robin-Chat,aves
rurcha1,Rüppell's Robin-Chat,aves
morcha1,Mountain Robin-Chat,aves
wbrcha1,White-bellied Robin-Chat,aves
lovcot1,Lovely Cotinga,aves
spacot1,Spangled Cotinga,aves
pubcot1,Purple-breasted Cotinga,aves
bancot1,Banded Cotinga,aves
pltcot1,Plum-throated Cotinga,aves
blucot1,Blue Cotinga,aves
turcot1,Turquoise Cotinga,aves
swirai1,Swinhoe's Rail,aves
yelrai,Yellow Rail,aves
raiqua1,Rain Quail,aves
comqua1,Common Quail,aves
harqua1,Harlequin Quail,aves
japqua,Japanese Quail,aves
nezqua1,New Zealand Quail,aves
stuqua1,Stubble Quail,aves
blucou1,Blue Coua,aves
coqcou1,Coquerel's Coua,aves
crecou1,Crested Coua,aves
runcou1,Running Coua,aves
snecou1,Snail-eating Coua,aves
giacou1,Giant Coua,aves
reccou3,Olive-capped Coua,aves
refcou1,Red-fronted Coua,aves
reccou2,Red-capped Coua,aves
rebcou1,Red-breasted Coua,aves
vercou1,Verreaux's Coua,aves
sibbut1,Silver-backed Butcherbird,aves
hoobut1,Hooded Butcherbird,aves
tagbut1,Tagula Butcherbird,aves
blbbut1,Black-backed Butcherbird,aves
piebut1,Pied Butcherbird,aves
grybut1,Gray Butcherbird,aves
crcspi1,Creamy-crested Spinetail,aves
licspi1,Light-crowned Spinetail,aves
licspi5,Line-cheeked Spinetail,aves
rumsof1,Russet-mantled Softtail,aves
asbspi1,Ash-browed Spinetail,aves
tepspi1,Tepui Spinetail,aves
rubspi5,Coiba Spinetail,aves
refspi1,Red-faced Spinetail,aves
stcspi1,Streak-capped Spinetail,aves
bolspi1,Bolivian Spinetail,aves
marspi4,Marcapata Spinetail,aves
scaspi1,Scaled Spinetail,aves
olispi1,Olive Spinetail,aves
palspi1,Pallid Spinetail,aves
stcspi2,Stripe-crowned Spinetail,aves
gyhspi1,Gray-headed Spinetail,aves
crespi1,Crested Spinetail,aves
parspi1,Parker's Spinetail,aves
rubspi4,Rusty-backed Spinetail,aves
marspi1,Vilcabamba Spinetail,aves
65212,Barking Frog,amphibia
65238,Fitzinger's Robber Frog,amphibia
bubcur1,Blue-billed Curassow,aves
blacur1,Black Curassow,aves
rebcur1,Red-billed Curassow,aves
yekcur1,Yellow-knobbed Curassow,aves
bafcur1,Bare-faced Curassow,aves
watcur1,Wattled Curassow,aves
grecur1,Great Curassow,aves
swtgul1,Swallow-tailed Gull,aves
watsta1,Wattled Starling,aves
afrcra1,African Crake,aves
slatan2,Slaty Tanager,aves
ructan4,Rufous-crested Tanager,aves
corcra,Corn Crake,aves
25225,Desert Froglet,amphibia
25232,Quacking Froglet,amphibia
25233,Rattling Froglet,amphibia
25237,Squelching Froglet,amphibia
25224,Beeping Froglet,amphibia
25236,Bleating Froglet,amphibia
25231,Common Eastern Froglet,amphibia
25235,Small Western Froglet,amphibia
25238,Tasmanian Froglet,amphibia
25234,Wallum Froglet,amphibia
grygab1,Gray Go-away-bird,aves
wbgbir1,White-bellied Go-away-bird,aves
bfgbir1,Bare-faced Go-away-bird,aves
wesple1,Western Plantain-eater,aves
easple1,Eastern Plantain-eater,aves
wesbeg1,Western Bearded-Greenbul,aves
retgre1,Red-tailed Greenbul,aves
easbeg1,Eastern Bearded-Greenbul,aves
whbgre1,White-bearded Greenbul,aves
yebgre3,Yellow-bearded Greenbul,aves
whtcan1,White-throated Canary,aves
ankser2,Ankober Serin,aves
bltcan1,Black-throated Canary,aves
sougrc1,Southern Grosbeak-Canary,aves
thbsee1,Thick-billed Seedeater,aves
sthsee3,West African Seedeater,aves
blfcan1,Black-faced Canary,aves
afrcit1,African Citril,aves
lebsee1,Lemon-breasted Seedeater,aves
satgro1,Sao Tome Grosbeak,aves
norgrc1,Northern Grosbeak-Canary,aves
whbcan1,White-bellied Canary,aves
yetser1,Yellow-throated Serin,aves
yelcan1,Yellow Canary,aves
wescit1,Western Citril,aves
sthsee2,Streaky-headed Seedeater,aves
soucit1,Southern Citril,aves
papcan1,Papyrus Canary,aves
procan1,Protea Canary,aves
whrsee,White-rumped Seedeater,aves
tansee1,Kipengere Seedeater,aves
yemser1,Yemen Serin,aves
blesee1,Black-eared Seedeater,aves
yefcan,Yellow-fronted Canary,aves
reisee4,Reichard's Seedeater,aves
reisee2,Reichenow's Seedeater,aves
olrser1,Arabian Serin,aves
prisee1,Principe Seedeater,aves
forcan1,Forest Canary,aves
reisee3,Stripe-breasted Seedeater,aves
strsee1,Streaky Seedeater,aves
brican1,Brimstone Canary,aves
drasis2,Drakensberg Siskin,aves
capsis2,Cape Siskin,aves
brrsee1,Brown-rumped Seedeater,aves
yebsee2,Yellow-browed Seedeater,aves
salser1,Salvadori's Serin,aves
yerser1,Yellow-rumped Serin,aves
46640,Greater White-toothed Shrew,mammalia
41886,Spotted Hyena,mammalia
dustet1,Dusky Tetraka,aves
yeboxy1,Madagascar Yellowbrow,aves
blephe1,Blue Eared-Pheasant,aves
whieap1,White Eared-Pheasant,aves
whieap2,Tibetan Eared-Pheasant,aves
brephe1,Brown Eared-Pheasant,aves
30764,Western Diamond-backed Rattlesnake,reptilia
30746,Timber Rattlesnake,reptilia
48268,Western Rattlesnake,reptilia
81526,Prairie Rattlesnake,reptilia
smbani,Smooth-billed Ani,aves
greani1,Greater Ani,aves
grbani,Groove-billed Ani,aves
hootre1,Hooded Treepie,aves
rattre1,Racket-tailed Treepie,aves
viswar1,Victorin's Warbler,aves
pluhaw,Plumbeous Hawk,aves
grebar2,Green Barbet,aves
yebrob1,Yellow-bellied Flyrobin,aves
spbant1,Speckle-breasted Antpitta,aves
sompig2,Sombre Pigeon,aves
greman2,Green Manakin,aves
grnman1,Choco Manakin,aves
41578,Fossa,mammalia
ducwin1,Dusky Crimsonwing,aves
rfcwin1,Red-faced Crimsonwing,aves
abcwin1,Abyssinian Crimsonwing,aves
shcwin1,Shelley's Crimsonwing,aves
crywar1,Cryptic Warbler,aves
46841,North American Least Shrew,mammalia
878265,Cryptotympana acuta,insecta
319989,Eastern horse cicada,insecta
85409,Black Giant Cicada,insecta
697706,Cryptotympana holsti,insecta
711158,Cryptotympana mandarina,insecta
891668,Cryptotympana recta,insecta
710713,Cryptotympana takasagona,insecta
blctin1,Black-capped Tinamou,aves
bartin2,Bartlett's Tinamou,aves
bertin1,Berlepsch's Tinamou,aves
slbtin1,Slaty-breasted Tinamou,aves
rustin1,Rusty Tinamou,aves
bartin1,Barred Tinamou,aves
cintin1,Cinereous Tinamou,aves
thitin1,Thicket Tinamou,aves
gyltin1,Gray-legged Tinamou,aves
reltin1,Red-legged Tinamou,aves
chotin1,Choco Tinamou,aves
yeltin1,Yellow-legged Tinamou,aves
brotin1,Brown Tinamou,aves
smbtin1,Small-billed Tinamou,aves
teptin1,Tepui Tinamou,aves
littin1,Little Tinamou,aves
bratin1,Brazilian Tinamou,aves
tattin1,Tataupa Tinamou,aves
pabtin1,Pale-browed Tinamou,aves
undtin1,Undulated Tinamou,aves
vartin1,Variegated Tinamou,aves
45893,Magellanic Tuco-tuco,mammalia
45909,Maule Tuco-tuco,mammalia
45910,Mendoza Tuco-tuco,mammalia
45895,Pearson's Tuco-tuco,mammalia
74250,Río Negro Tuco-tuco,mammalia
45903,Talas Tuco-tuco,mammalia
45891,Collared Tuco-tuco,mammalia
74256,Yolanda's tuco-tuco,mammalia
comcuc,Common Cuckoo,aves
blacuc1,Black Cuckoo,aves
suhcuc1,Sulawesi Cuckoo,aves
afrcuc1,African Cuckoo,aves
suncuc2,Sunda Cuckoo,aves
indcuc1,Indian Cuckoo,aves
oricuc2,Oriental Cuckoo,aves
lescuc1,Lesser Cuckoo,aves
madcuc1,Madagascar Cuckoo,aves
himcuc1,Himalayan Cuckoo,aves
reccuc1,Red-chested Cuckoo,aves
gyhcaf1,Gray-headed Canary-Flycatcher,aves
citcaf1,Citrine Canary-Flycatcher,aves
shttyr1,Sharp-tailed Tyrant,aves
74257,Spotted Paca,mammalia
74258,Mountain Paca,mammalia
42101,Dhole,mammalia
ausbla1,Austral Blackbird,aves
balwar1,Balearic Warbler,aves
banwar2,Banded Parisoma,aves
yemwar1,Yemen Warbler,aves
easwar1,Eastern Subalpine Warbler,aves
grewhi1,Greater Whitethroat,aves
spewar2,Spectacled Warbler,aves
eaowar2,Eastern Orphean Warbler,aves
leswhi4,Lesser Whitethroat,aves
afdwar1,African Desert Warbler,aves
triwar1,Tristram's Warbler,aves
weowar2,Western Orphean Warbler,aves
subwar6,Western Subalpine Warbler,aves
laywar2,Layard's Warbler,aves
reswar1,Arabian Warbler,aves
brnwar1,Brown Parisoma,aves
sarwar1,Sardinian Warbler,aves
cypwar1,Cyprus Warbler,aves
menwar1,Menetries's Warbler,aves
asdwar1,Asian Desert Warbler,aves
barwar1,Barred Warbler,aves
ruewar1,Rüppell's Warbler,aves
marwar1,Marmora's Warbler,aves
subwar8,Moltoni's Warbler,aves
ruvwar2,Chestnut-vented Warbler,aves
darwar1,Dartford Warbler,aves
indcou1,Indian Courser,aves
crccou1,Cream-colored Courser,aves
burcou2,Burchell's Courser,aves
somcou1,Somali Courser,aves
temcou1,Temminck's Courser,aves
viecut1,Vietnamese Cutia,aves
cutia1,Himalayan Cutia,aves
purhon1,Purple Honeycreeper,aves
relhon1,Red-legged Honeycreeper,aves
shihon1,Shining Honeycreeper,aves
shbhon2,Short-billed Honeycreeper,aves
blbtan2,Blue-backed Tanager,aves
blutit,Eurasian Blue Tit,aves
azutit2,Azure Tit,aves
afbtit2,African Blue Tit,aves
buwgoo1,Blue-winged Goose,aves
blujay,Blue Jay,aves
stejay,Steller's Jay,aves
blubun,Blue Bunting,aves
blcjay1,Black-chested Jay,aves
pubjay1,Purplish-backed Jay,aves
azujay1,Azure Jay,aves
cayjay1,Cayenne Jay,aves
plcjay1,Plush-crested Jay,aves
btmjay,Black-throated Magpie-Jay,aves
cucjay1,Curl-crested Jay,aves
purjay1,Purplish Jay,aves
whnjay1,White-naped Jay,aves
tufjay1,Tufted Jay,aves
wtmjay1,White-throated Magpie-Jay,aves
aznjay1,Azure-naped Jay,aves
bucjay1,Bushy-crested Jay,aves
brnjay,Brown Jay,aves
whtjay2,White-tailed Jay,aves
sabjay,San Blas Jay,aves
viojay1,Violaceous Jay,aves
grnjay,Green Jay,aves
yucjay1,Yucatan Jay,aves
chwbab3,Gray-hooded Babbler,aves
golbab1,Golden Babbler,aves
chwbab1,Chestnut-winged Babbler,aves
crcbab1,Crescent-chested Babbler,aves
blcbab2,Black-chinned Babbler,aves
rucbab1,Rufous-capped Babbler,aves
rufbab2,Rufous-fronted Babbler,aves
blucus1,Blue Cuckooshrike,aves
bluvan2,Comoro Blue Vanga,aves
bluvan3,Madagascar Blue Vanga,aves
burpar,Burrowing Parakeet,aves
ultgro1,Ultramarine Grosbeak,aves
bubgro1,Blue-black Grosbeak,aves
glbgro1,Glaucous-blue Grosbeak,aves
bubgro2,Amazonian Grosbeak,aves
sitjay1,Silvery-throated Jay,aves
blcjay2,Black-collared Jay,aves
azhjay1,Azure-hooded Jay,aves
whtjay1,White-throated Jay,aves
dwajay1,Dwarf Jay,aves
beajay1,Beautiful Jay,aves
bltjay1,Black-throated Jay,aves
turjay1,Turquoise Jay,aves
whcjay2,White-collared Jay,aves
buhsun1,Blue-headed Sunbird,aves
bansun3,Bannerman's Sunbird,aves
btbsun2,Blue-throated Brown Sunbird,aves
eaosun1,Olive Sunbird,aves
camsun2,Cameroon Sunbird,aves
mocsun2,Mouse-colored Sunbird,aves
gnhsun1,Green-headed Sunbird,aves
azwmag3,Iberian Magpie,aves
azwmag2,Azure-winged Magpie,aves
spimac1,Spix's Macaw,aves
zapfly1,Zappey's Flycatcher,aves
bawfly2,Blue-and-white Flycatcher,aves
yefpar3,Yellow-crowned Parakeet,aves
noipar1,Norfolk Island Parakeet,aves
chipar1,Chatham Islands Parakeet,aves
reipar1,Reischek's Parakeet,aves
malpar2,Malherbe's Parakeet,aves
refpar4,Red-crowned Parakeet,aves
necpar1,New Caledonian Parakeet,aves
raipar1,Raiatea Parakeet,aves
antpar1,Antipodes Parakeet,aves
blfpar2,Black-fronted Parakeet,aves
rubpep1,Rufous-browed Peppershrike,aves
blbpep1,Black-billed Peppershrike,aves
205176,Green Grocer,insecta
lafpar1,Large Fig-Parrot,aves
defpar1,Double-eyed Fig-Parrot,aves
edfpar1,Edwards's Fig-Parrot,aves
safpar1,Salvadori's Fig-Parrot,aves
605925,Two-Toothed Scaly Cricket,insecta
558372,syncopated scaly cricket,insecta
1204516,Reluctant Scaly Cricket,insecta
746461,Slosson's Scaly Cricket,insecta
blkswa,Black Swan,aves
truswa,Trumpeter Swan,aves
tunswa,Tundra Swan,aves
whoswa,Whooper Swan,aves
blnswa2,Black-necked Swan,aves
mutswa,Mute Swan,aves
fasant1,Fasciated Antshrike,aves
bamant1,Bamboo Antshrike,aves
barbro1,Black-and-red Broadbill,aves
goceme1,Golden-crowned Emerald,aves
caneme1,Canivet's Emerald,aves
brbhum2,Turquoise-crowned Hummingbird,aves
cozeme1,Cozumel Emerald,aves
brbhum,Broad-billed Hummingbird,aves
brbhum3,Tres Marias Hummingbird,aves
74262,greenhall's dog-faced bat,mammalia
1431073,Thomas's Dog-faced Bat,mammalia
74263,Mexican Dog-faced Bat,mammalia
74265,southern dog-faced bat,mammalia
46180,Gunnison's Prairie Dog,mammalia
46177,White-tailed Prairie Dog,mammalia
46179,Black-tailed Prairie Dog,mammalia
46176,Mexican Prairie Dog,mammalia
46178,Utah Prairie Dog,mammalia
40792,Greater Short-nosed Fruit Bat,mammalia
hibfly3,Javan Blue Flycatcher,aves
bncjuf1,Brown-chested Jungle Flycatcher,aves
lobblf1,Sunda Blue Flycatcher,aves
bubfly2,Rufous-breasted Blue Flycatcher,aves
suljuf1,Sula Jungle Flycatcher,aves
butfly2,Chinese Blue Flycatcher,aves
habfly1,Hainan Blue Flycatcher,aves
bubfly1,Blue-breasted Blue Flycatcher,aves
merjuf1,Meratus Blue Flycatcher,aves
subfly5,Kalao Blue Flycatcher,aves
pabfly1,Palawan Blue Flycatcher,aves
larblf1,Large Blue Flycatcher,aves
hibfly4,Dayak Blue Flycatcher,aves
nicjuf1,Nicobar Jungle Flycatcher,aves
chtjuf3,Sulu Jungle Flycatcher,aves
fucjuf1,Fulvous-chested Jungle Flycatcher,aves
subfly1,Sulawesi Blue Flycatcher,aves
wbbfly1,White-bellied Blue Flycatcher,aves
banjuf1,Banggai Jungle Flycatcher,aves
pacblf1,Pale-chinned Flycatcher,aves
butfly1,Blue-throated Flycatcher,aves
rubfly1,Rück's Blue Flycatcher,aves
chtjuf2,Philippine Jungle Flycatcher,aves
chtjuf4,Crocker Jungle Flycatcher,aves
mabfly2,Mangrove Blue Flycatcher,aves
tibfly4,Indochinese Blue Flycatcher,aves
bobfly2,Bornean Blue Flycatcher,aves
tibfly3,Tickell's Blue Flycatcher,aves
mabfly1,Malaysian Blue Flycatcher,aves
gycjuf1,Gray-chested Jungle Flycatcher,aves
pabfly2,Pale Blue Flycatcher,aves
hibfly1,Hill Blue Flycatcher,aves
454805,Great Grig,insecta
muswre2,Musician Wren,aves
chbwre2,Northern Chestnut-breasted Wren,aves
sonwre1,Song Wren,aves
chbwre3,Southern Chestnut-breasted Wren,aves
spfswi1,Spot-fronted Swift,aves
whcswi1,White-chinned Swift,aves
sooswi1,Sooty Swift,aves
whcswi2,White-chested Swift,aves
blkswi,Black Swift,aves
rotswi1,Rothschild's Swift,aves
grdswi1,Great Dusky Swift,aves
whfswi1,White-fronted Swift,aves
aspswi1,Asian Palm Swift,aves
