idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
3542,Cyphoderris monstrosa,Great Grig,454805,insecta,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,可怖弯革螽,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,Great Grig,,,,,,,,,,,,,,,,,,,
3543,Cyphorhinus arada,Musician Wren,muswre2,aves,Orpheuszaunkönig,Cucarachero Musical,strzyżoń melodyjny,Troglodyte arada,Orpheuswinterkoning,Толстоклювый крапивник,ウタミソサザイ,střízlík zpěvný,cargolet músic,uirapuru-da-guiana/de-flancos-cinza/de-orelha-alaranjada/do-imeri/ferrugíneo,orgelsmett,Пъстроврато орехче,musikergärdsmyg,Stentorsmutte,Müzisyen Çıtkuşu,oriešok arada,Carić svirač,Тріскопліт рудолобий,歌鹪鹩,laulupeukaloinen,Cucarachero musical,Cucarachero Musical,Soterrey Virtuoso,Uirapuru-verdadeiro,riđočeli palčić,Balsingoji storasnapė karietaitė,الیکایی نوازنده,Dryw peraidd,taidurkäblik,Scricciolo musico,歌鷦鷯,muzika troglodito,dalos ökörszem,,,,,,,,,,,,,,,
3544,Cyphorhinus dichrous,Northern Chestnut-breasted Wren,chbwre2,aves,Kappenzaunkönig,Cucarachero Dorsicastaño del Norte,strzyżoń dwubarwny,Troglodyte dichroïte,Noordelijke bruinborstwinterkoning,Northern Chestnut-breasted Wren,Northern Chestnut-breasted Wren,střízlík tmavokřídlý,cargolet de pit castany septentrional,northern chestnut-breasted wren,fløytesmett,Северно кестенявогушо орехче,visselgärdsmyg,San Martin-smutte,Kuzeyli Kestane Göğüslü Çıtkuşu,oriešok tmavokrídly,Severni kestenjastogrudi carić,Northern Chestnut-breasted Wren,北栗胸歌鹪鹩,Northern Chestnut-breasted Wren,Cucarachero dorsicastaño del norte,Cucarachero Dorsicastaño del Norte,Soterrey Pechicastaño Norteño,Northern chestnut-breasted wren,narančastoprsi palčić,Šiaurinė kaštoninė storasnapė karietaitė,Northern Chestnut-breasted Wren,Northern Chestnut-breasted Wren,Northern Chestnut-breasted Wren,,,malhelflugila troglodito,,,,,,,,,,,,,,,,
3545,Cyphorhinus phaeocephalus,Song Wren,sonwre1,aves,Brillenzaunkönig,Cucarachero Canoro,strzyżoń śpiewny,Troglodyte chanteur,Zangwinterkoning,Певчий крапивник,キタウタミソサザイ,střízlík rezavohrdlý,cargolet cantaire,carriça-canora,sangsmett,Плешиво орехче,sånggärdsmyg,Sangsmutte,Ötücü Çıtkuşu,oriešok koledníček,Carić pevač,Тріскопліт співочий,鸣鹪鹩,kolumbianlaulupeukaloinen,Cucarachero canoro,Cucarachero Canoro,Soterrey Canoro (Cantante),Song wren,mrki palčić,Giedančioji storasnapė karietaitė,الیکایی آوازخوان,Song Wren,laulukäblik,Scricciolo canoro,鳴唱鷦鷯,kanta troglodito,,,,,,,,,,,,,,,,
3546,Cyphorhinus thoracicus,Southern Chestnut-breasted Wren,chbwre3,aves,Kastanienbrust-Zaunkönig,Cucarachero Dorsicastaño del Sur,strzyżoń andyjski,Troglodyte ferrugineux,Zuidelijke bruinborstwinterkoning,Коричневогрудый толстоклювый крапивник,クリムネウタミソサザイ,střízlík kaštanovoprsý,cargolet de pit castany meridional,carriça-de-peito-castanho,kastanjebrystsmett,Южно кестенявогушо орехче,drillgärdsmyg,Brunbrystet Smutte,Güneyli Kestane Göğüslü Çıtkuşu,oriešok hudobník,Južni kestenjastogrudi carić,тріскопліт андійський,南栗胸歌鹪鹩,kastanjapeukaloinen,Cucarachero dorsicastaño del sur,Cucarachero Dorsicastaño del Sur,Soterrey Pechicastaño Sureño,Southern chestnut-breasted wren,narančastolici palčić,Kaštoninė storasnapė karietaitė,الیکایی سینهبلوطی,Dryw bronwinau,punarind-käblik,Scricciolo pettocastano,栗胸歌鷦鷯,kaŝtanbrusta troglodito,barnamellű ökörszem,,,,,,,,,,,,,,,
3547,Cypseloides cherriei,Spot-fronted Swift,spfswi1,aves,Diademsegler,Vencejo Cuatroojos,cierniosternik okularowy,Martinet à points blancs,Diadeemgierzwaluw,Пятнистолобый стриж,シロボシムジアマツバメ,rorýs skvrnolící,falciot caratacat,andorinhão-de-loros-brancos,hvitflekkseiler,Планински бързолет,fläckpannad seglare,Brillesejler,Dört Gözlü Ebabil,sadziar škvrnitohlavý,Šarenolika čiopa,Свіфт плямистолобий,斑额黑雨燕,koskikiitäjä,Vencejo cuatroojos,Vencejo Cuatroojos,Vencejo Frentipunteado,Spot-fronted swift,čiopa uzdašica,Dėmėtakaktis amerikinis čiurlys,بادقپک خالپیشانی,Coblyn aelwyn,silmik-kosepiiritaja,Rondone frontemacchiata,點額黑雨燕,makulfrunta apodo,diadém sarlósfecske,,,,,,,,,,,,,,,
3548,Cypseloides cryptus,White-chinned Swift,whcswi1,aves,Weißkinnsegler,Vencejo Barbiblanco,cierniosternik białobrody,Martinet à menton blanc,Witkingierzwaluw,Белобородый стриж,シロアゴムジアマツバメ,rorýs bělobradý,falciot de barbeta blanca,taperuçu-de-mento-branco,blekhakeseiler,Белобрад бързолет,gråhakad seglare,Lyshaget Sejler,Ak Gıdılı Ebabil,sadziar bielobradý,Belobrada čiopa,Свіфт нікарагуанський,白颏黑雨燕,putouskiitäjä,Vencejo barbiblanco,Vencejo Barbiblanco,Vencejo Barbiblanco,Taperuçu-de-queixo-branco,kratkorepa čiopa,Baltasmakris amerikinis čiurlys,بادقپک چانهسفید,Coblyn genwyn,pagu-kosepiiritaja,Rondone mentobianco,白頦黑雨燕,blankmentona apodo,fehérállú sarlósfecske,,,,,,,,,,,,,,,
3549,Cypseloides fumigatus,Sooty Swift,sooswi1,aves,Rauchsegler,Vencejo Negruzco,cierniosternik okopcony,Martinet fuligineux,Rookbruine gierzwaluw,Тёмный стриж,ムジアマツバメ,rorýs kouřový,falciot fumat,taperuçu-preto,sotseiler,Сажден бързолет,sotseglare,Sodfarvet Sejler,Dumanlı Ebabil,sadziar dymový,Čađava čiopa,Свіфт парагвайський,乌黑雨燕,nokikiitäjä,Vencejo negruzco,Vencejo Negruzco,Vencejo Negruzco,Taperuçu-preto,mrka čiopa,Tamsusis amerikinis čiurlys,بادخورک دودی,Coblyn tywyll,nõgi-kosepiiritaja,Rondone fuligginoso,暗色雨燕,fulga apodo,füstös sarlósfecske,,,,,,,,,,,,,,,
3550,Cypseloides lemosi,White-chested Swift,whcswi2,aves,Brustflecksegler,Vencejo Pechiblanco,cierniosternik kolumbijski,Martinet à plastron blanc,Caucagierzwaluw,Белогрудый стриж,ムナジロムジアマツバメ,rorýs běloprsý,falciot pitblanc,taperuçu-de-peito-branco,hvitbrystseiler,Белогръд бързолет,vitbröstad seglare,Caucasejler,Ak Göğüslü Ebabil,sadziar bieloprsý,Belogruda čiopa,Свіфт білогрудий,白胸黑雨燕,liivikiitäjä,Vencejo pechiblanco,Vencejo Pechiblanco,Vencejo Pechiblanco,Taperuçu-de-peito-branco,bjeloprsa čiopa,Baltakrūtis amerikinis čiurlys,بادقپک سینهسفید,Coblyn bronwyn,valgepugu-kosepiiritaja,Rondone pettobianco,白胸黑雨燕,blankbrusta apodo,foltosmellű sarlósfecske,,,,,,,,,,,,,,,
3551,Cypseloides niger,Black Swift,blkswi,aves,Schwarzsegler,Vencejo Negro,cierniosternik czarny,Martinet sombre,Zwarte gierzwaluw,Американский стриж,クロムジアマツバメ,rorýs černý,falciot fosc,taperuçu-escuro,svartseiler,Американски черен бързолет,svartseglare,Sortsejler,Karaca Ebabil,sadziar čierny,Američka crna čiopa,Свіфт західний,黑雨燕,mustakiitäjä,Vencejo negro,Vencejo Negro,Vencejo Negro,Taperuçu-escuro,planinska čiopa,Juodasis amerikinis čiurlys,بادخورک سیاه آمریکایی,Coblyn du,põhja-kosepiiritaja,Rondone nero,黑雨燕,nigra apodo,fekete sarlósfecske,,,melnā svīre,,,,,,,,,,,,
3552,Cypseloides rothschildi,Rothschild's Swift,rotswi1,aves,Rothschildsegler,Vencejo Parduzco,cierniosternik brązowy,Martinet de Rothschild,Bruine gierzwaluw,Ротшильдов стриж,オオアマツバメ,rorýs pastelový,falciot de Rotshchild,andorinhão-de-rothschild,saltaseiler,Боливийски бързолет,brunseglare,Argentinsk Sejler,Rothschild Ebabili,sadziar hnedý,Rotšildova čiopa,Свіфт аргентинський,罗氏黑雨燕,isonokikiitäjä,Vencejo parduzco,Vencejo Parduzco,Vencejo Pardo,Rothschild's swift,tukumanska čiopa,Rotšildo amerikinis čiurlys,بادقپک راتشیلد,Coblyn mawr,tucumáni kosepiiritaja,Rondone di Rotschild,羅斯氏黑雨燕,roĉilda apodo,Rothschild-sarlósfecske,,,,,,,,,,,,,,,
3553,Cypseloides senex,Great Dusky Swift,grdswi1,aves,Rußsegler,Vencejo Canoso,cierniosternik ciemny,Martinet à tête grise,Roetgierzwaluw,Сумеречный стриж,オオムジアマツバメ,rorýs zavalitý,falciot de les cascades,taperuçu-velho,fosseseiler,Американски водопаден бързолет,vattenfallsseglare,Skælhovedet Sejler,Boz Başlı Ebabil,sadziar sivohlavý,Velika tamna čiopa,Свіфт світлоголовий,大黑雨燕,kuohukiitäjä,Vencejo canoso,Vencejo Canoso,Vencejo de Cascada,Taperuçu-velho,čiopa slapašica,Teminko amerikinis čiurlys,بادقپک بزرگ تیره,Coblyn tywyll mawr,kahkpea-kosepiiritaja,Rondone fosco,大烏黑雨燕,malhela apodo,kormos sarlósfecske,,,,,,,,,,,,,,,
3554,Cypseloides storeri,White-fronted Swift,whfswi1,aves,Weißstirnsegler,Vencejo Frentiblanco,cierniosternik białoczelny,Martinet de Storer,Witvoorhoofdgierzwaluw,Белолобый стриж,シロビタイアマツバメ,rorýs běločelý,falciot frontblanc,andorinhão-de-testa-branca,mestisseiler,Белочел бързолет,ljuspannad seglare,Lyspandet Sejler,Ak Alınlı Ebabil,sadziar bieločelý,Beločela čiopa,Свіфт гуєрерський,白额黑雨燕,huurreotsakiitäjä,Vencejo frentiblanco,Vencejo Cara Blanca,Vencejo Frentiblanco,White-fronted swift,guererska čiopa,Baltakaktis amerikinis čiurlys,بادقپک پیشانیسفید,Coblyn blaenwyn,mehhiko kosepiiritaja,Rondone frontebianca,白額黑雨燕,blankfrunta apodo,fehérarcú sarlósfecske,,,,,,,,,,,,,,,
3555,Cypsiurus balasiensis,Asian Palm Swift,aspswi1,aves,Bengalensegler,Vencejo Palmero Asiático,jerzyk jaskółczy,Martinet batassia,Aziatische palmgierzwaluw,Азиатский пальмовый стриж,アジアヤシアマツバメ,rorýs palmový,falciot de les palmeres asiàtic,andorinhão-das-palmeiras-asiático,asiapalmeseiler,Азитаски палмов бързолет,asiatisk palmseglare,Asiatisk Palmesejler,Asya Palmiye Ebabili,sŕpik palmový,Azijska palmina čiopa,Серпокрилець південноазійський,棕雨燕,aasianpalmukiitäjä,Vencejo palmero asiático,Vencejo Palmero Asiático,Vencejo Palmero Asiático,Asian palm swift,čiopa palmašica,Azijinis palminis čiurlys,Asian Palm Swift,Coblyn palmwydd Asia,aasia palmipiiritaja,Rondone delle palme asiatico,亞洲棕雨燕,azia palmapodo,ázsiai pálmasarlósfecske,,,,,Walet-palem asia,,,,,,,סיס-דקלים אסייתי,,นกแอ่นตาล,പനങ്കൂളൻ
3556,Cypsiurus gracilis,Malagasy Palm Swift,malpas1,aves,Madagaskarpalmsegler,Vencejo Palmero Malgache,jerzyk skromny,Martinet de Madagascar,Madagaskarpalmgierzwaluw,Malagasy Palm Swift,マダガスカルスアマツバメ,rorýs štíhlý,falciot de les palmeres de Madagascar,andorinhão-das-palmeiras-malgaxe,gasserpalmeseiler,Мадагаскарски палмов бързолет,madagaskarpalmseglare,Madagascar Palmesejler,Madagaskar Palmiye Ebabili,sŕpik madagaskarský,Malagaška palmina čiopa,Серпокрилець мадагаскарський,马岛棕雨燕,Malagasy Palm Swift,Vencejo palmero malgache,Vencejo Palmero Malgache,Vencejo Palmero Malgache,Malagasy palm swift,Malagasy Palm Swift,Madagaskarinis palminis čiurlys,Malagasy Palm Swift,Malagasy Palm Swift,Malagasy Palm Swift,,,madagaskara palmapodo,,,,,,,,,,,,,,,,
3557,Cypsiurus parvus,African Palm Swift,afpswi1,aves,Palmensegler,Vencejo Palmero Africano,jerzyk palmowy,Martinet des palmes,Afrikaanse palmgierzwaluw,Пальмовый стриж,ヤシアマツバメ,rorýs africký,falciot de les palmeres africà,andorinhão-dos-palmares,afrikapalmeseiler,Африкански палмов бързолет,afrikansk palmseglare,Afrikansk Palmesejler,Palmiye Ebabili,sŕpik vidlochvostý,Afrička palmina čiopa,Серпокрилець пальмовий,非洲棕雨燕,afrikanpalmukiitäjä,Vencejo palmero africano,Vencejo Palmero Africano,Vencejo Palmero Africano,Andorinhão-dos-palmares,čiopa lastarka,Afrikinis palminis čiurlys,African Palm Swift,Coblyn palmwydd Affrica,aafrika palmipiiritaja,Rondone delle palme africano,非洲棕雨燕,afrika palmapodo,afrikai pálmasarlósfecske,,afriški palmov hudournik,Āfrikas palmu svīre,Pálmasvölungur,,,,,Palmwindswael,Afrihkácihran,,סיס-דקלים אפריקני,,,
3558,Cypsnagra hirundinacea,White-rumped Tanager,whrtan1,aves,Weißbürzeltangare,Tangara Culiblanca,tanagrówka,Tangara hirundinacé,Witstuittangare,Белопоясничная пипира,コシジロフウキンチョウ,tangara bělořitá,tàngara de carpó blanc,bandoleta,hvitgumptanagar,Белокръста танагра,vitryggig tangara,Hvidrygget Tangar,Ak Sokumlu Tangara,stŕňa pasienkové,Beloleđa tangara,Тангар рудогорлий,白腰唐纳雀,valkoperätangara,Tangara culiblanca,Tangara Culiblanca,Tangara Culiblanca,Bandoleta,crnorepa tangara,baltauodegė tanagra,فرخنده دمگاهسفید,Tanagr tinwyn,White-rumped Tanager,Tanagra groppabianca,白腰唐納雀,blankpuga tangaro,,,,,,,,,,,,,,,,
3559,Cyrtonyx montezumae,Montezuma Quail,monqua,aves,Montezumawachtel,Colín de Moctezuma,przepiór perlisty,Colin arlequin,Montezumabergkwartel,Плачущий перепел,シロマダラウズラ,křepel harlekýn,colí de Moctezuma,codorniz-asteca,aztekvaktel,Ацтекски пъдпъдък,montezumavaktel,Montezumavagtel,Soytarı Kolin,prepelka kráľovská,Montezumina prepelica,Перепелиця-клоун мексиканська,彩鹑,montezumanviiriäinen,Colín de Moctezuma,Codorniz de Moctezuma,Colín de Moctezuma,Montezuma quail,šarena prepelica,Montesumos verkiančioji putpelė,بلدرچین مانتیزوما,Sofliar Montezuma,mehhiko maskvutt,Quaglia di Montezuma,彩鶉,montezuma arbokoturno,pettyes fogasfürj,,,Montesumas paipala,,,,,,,,,,,,
3560,Cyrtonyx ocellatus,Ocellated Quail,ocequa1,aves,Tränenwachtel,Colín Ocelado,przepiór maskowy,Colin ocellé,Gevlekte bergkwartel,Глазчатый перепел,タマフウズラ,křepel perličkový,colí ocel·lat,codorniz-ocelada,zapotekvaktel,Гватемалски пъдпъдък,glasögonvaktel,Brillevagtel,Güney Soytarı Kolini,prepelka očkatá,Krupnopegava prepelica,Перепелиця-клоун західна,眼斑彩鹑,harlekiiniviiriäinen,Colín ocelado,Codorniz Ocelada,Colín Ocelado,Ocellated quail,kacigasta prepelica,Paprastoji verkiančioji putpelė,بلدرچین ریزچشم,Sofliar lygadynnog,maia maskvutt,Quaglia ocellata,眼斑彩鶉,ocela arbokoturno,,,,,,,,,,,,,,,,
3561,Cyrtoxipha columbiana,Columbian Trig,324893,insecta,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,,,,,,,,,,,,,,,,,,,
3562,Cyrtoxipha gundlachi,Gundlach's trig,963593,insecta,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,Gundlach's trig,,,,,,,,,,,,,,,,,,,
3563,Cystopsaltria immaculata,Rare Bladder Cicada,709539,insecta,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,Rare Bladder Cicada,,,,,,,,,,,,,,,,,,,
3564,Cystosoma saundersii,Bladder Cicada,338901,insecta,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,ハラブトゼミ,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,Bladder Cicada,,,,,,,,,,,,,,,,,,,
3565,Cystosoma schmeltzi,Lesser Bladder Cicada,369188,insecta,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,Lesser Bladder Cicada,,,,,,,,,,,,,,,,,,,
3566,Dacelo gaudichaud,Rufous-bellied Kookaburra,rubkoo1,aves,Rotbauchliest,Cucaburra Ventrirrufa,kukabura rdzawobrzucha,Martin-chasseur de Gaudichaud,Roodbuikkookaburra,Краснобрюхая кукабара,チャバラワライカワセミ,ledňák rezavobřichý,cucaburra ventre-rogenc,cucaburra-de-barriga-ruiva,hvitnebbkokaburra,Жълтоклюна кукабура,vitnäbbad kokaburra,Hvidnæbbet Latterfugl,Kızıl Karınlı Kukabura,kukabura hrdzavobruchá,Riđotrba kukabura,Кукабара білодзьоба,棕腹笑翠鸟,papuankookaburra,Cucaburra ventrirrufa,Cucaburra Ventrirrufa,Cucaburra Ventrirrufa,Rufous-bellied kookaburra,riđotrbi vodomar,Rusvapilvė kukabara,خندانماهیخورک شکمحنایی,Cwcabyra brongoch,valgenokk-kuukabarra,Kookaburra panciarossiccia,棕腹笑翠鳥,rufaventra kukaburo,vörhenyeshasú kokabura,,rjasti lovač,,,Kukabura perut-merah,,,,,,,,,,
3567,Dacelo leachii,Blue-winged Kookaburra,blwkoo1,aves,Blauflügelliest,Cucaburra Aliazul,kukabura modroskrzydła,Martin-chasseur à ailes bleues,Blauwvleugelkookaburra,Синекрылая кукабара,アオバネワライカワセミ,ledňák kukabura,cucaburra alablau,cucaburra-d'asa-azul,larmkokaburra,Синьокрила кукабура,blåvingad kokaburra,Hvidhovedet Latterfugl,Mavi Kanatlı Kukabura,kukabura modrokrídla,Plavokrila kukabura,Кукабара синьокрила,蓝翅笑翠鸟,sinikookaburra,Cucaburra aliazul,Cucaburra Aliazul,Cucaburra Aliazul,Blue-winged kookaburra,modrokrili vodomar,Mėlynsparnė kukabara,Blue-winged Kookaburra,Cwcabyra adeinlas,siniõlg-kuukabarra,Kookaburra aliazzurre,藍翅笑翠鳥,bluflugila kukaburo,bóbitás halción,,kričavi lovač,,,Kukabura sayap-biru,,,,,,,,,,
3568,Dacelo novaeguineae,Laughing Kookaburra,laukoo1,aves,Jägerliest,Cucaburra Común,kukabura chichotliwa,Martin-chasseur géant,Kookaburra,Смеющаяся кукабара,ワライカワセミ,ledňák obrovský,cucaburra comú,cucaburra-risonha,latterkokaburra,Присмехулна кукабура,skrattkokaburra,Latterfugl,Kukabura,kukabura obrovská,Kukabura,Кукабара велика,笑翠鸟,kookaburra,Cucaburra común,Cucaburra Común,Cucaburra Común,Laughing kookaburra,krupnokljuni vodomar,Didžioji kukabara,کوکابورا خندان,Cwcabyra chwarddol,kuukabarra,Kookaburra sghignazzante,笑翠鳥,rida kukaburo,kacagójancsi,,veliki lovač,,,,,,,,,,,,,
3569,Dacelo rex,Shovel-billed Kookaburra,shbkoo1,aves,Froschschnabelliest,Martín Cazador Picopala,kukabura szuflodzioba,Martin-chasseur bec-en-cuillère,Kikkerbekijsvogel,Лягушкоротая кукабара,ハシブトカワセミ,ledňák kuželozobý,alció bec d'esclop,cucaburra-bico-de-pá,plogkokaburra,Дебелоклюна кукабура,skovelnäbbad kokaburra,Kongeisfugl,Kürek Gagalı Kukabura,kukabura lyžicozobá,Debelokljuna kukabura,Альціон товстодзьобий,铲嘴翠鸟,lapiokalastaja,Martín cazador picopala,Martín Cazador Picopala,Martín Cazador Picopala,Shovel-billed kookaburra,debelokljuni vodomar,Plačiasnapis tulžys,خندانماهیخورک نوکبیلچهای,Cwcabyra rhawbig,hiidnokk-safiirlind,Kookaburra becco a pala,鍬嘴翠鳥,larĝbeka kukaburo,gilisztaevő jégmadár,,žabjekljunec,,,Raja-udang paruh-sekop,,,,,,,,,,
3570,Dacelo tyro,Spangled Kookaburra,spakoo1,aves,Aruliest,Cucaburra Escamosa,kukabura łuskowana,Martin-chasseur pailleté,Aroekookaburra,Аруанская кукабара,アルーワライカワセミ,ledňák aruský,cucaburra escatós,cucaburra-escamosa,fregnekokaburra,Петниста кукабура,pärlkokaburra,Aru Latterfugl,Kafesli Kukabura,kukabura šupinatá,Pirgava kukabura,Кукабара аруанська,披肩笑翠鸟,arunkookaburra,Cucaburra escamosa,Cucaburra Escamosa,Cucaburra Escamosa,Spangled kookaburra,pjegavoglavi vodomar,Blizgioji kukabara,کوکابورای پولکدار,Cwcabyra cennog,täpik-kuukabarra,Kookaburra picchiettato,披肩笑翠鳥,punkta kukaburo,gyöngyös kokabura,,pegasti lovač,,,Kukabura aru,,,,,,,,,,
3571,Dacnis albiventris,White-bellied Dacnis,whbdac1,aves,Weißbauchpitpit,Dacnis Ventriblanco,cukrownik białobrzuchy,Dacnis à ventre blanc,Witbuikpitpit,Белобрюхий дакнис,シロハラヒワミツドリ,pitpit bělobřichý,dacnis ventreblanca,saí-de-barriga-branca,hvitbukdaknis,Белокорем дакнис,vitbukig daknis,Hvidbuget Sukkerfugl,Ak Karınlı Daknis,pitpit bielobruchý,Belotrbi daknis,Цукрист білочеревий,白腹锥嘴雀,kobolttikerttulitangara,Dacnis ventriblanco,Dacnis Ventriblanco,Dacnis Ventriblanco,Saí-de-barriga-branca,bjelotrba tangara,baltapilvis daknis,توتخوار شکمسفید,Dacnis torwyn,valgekõht-türkiissirk,Dacne panciabianca,白腹錐嘴雀,blankventra dakno,,,,,,,,,,,,,,,,
3572,Dacnis berlepschi,Scarlet-breasted Dacnis,scbdac1,aves,Rotbrustpitpit,Dacnis Pechirrojo,cukrownik strojny,Dacnis à poitrine rouge,Roodborstpitpit,Красногрудый дакнис,ムネアカヒワミツドリ,pitpit červenoprsý,dacnis pit-roja,dácnis-de-peito-escarlate,rødbrystdaknis,Червеногръд дакнис,trefärgad daknis,Trefarvet Sukkerfugl,Kızıl Karınlı Daknis,pitpit červenoprsý,Crvenogrudi daknis,Цукрист червоногрудий,红胸锥嘴雀,punavyötangara,Dacnis pechirrojo,Dacnis Pechirrojo,Dacnis Pechiescarlata,Scarlet-breasted dacnis,plamenoprsa tangara,raudonkrūtis daknis,توتخوار سینهسرخ,Dacnis brongoch,punarind-türkiissirk,Dacne pettoscarlatto,朱胸錐嘴雀,ruĝbrusta dakno,,,,,,,,,,,,,,,,
3573,Dacnis cayana,Blue Dacnis,bludac1,aves,Blaukopfpitpit,Dacnis Azul,cukrownik niebieski,Dacnis bleu,Blauwe pitpit,Синий дакнис,ヒワミツドリ,pitpit modrý,dacnis blava,saí-azul,blådaknis,Син дакнис,blådaknis,Blå Sukkerfugl,Mavi Daknis,pitpit modrý,Plavi daknis,Цукрист блакитний,蓝锥嘴雀,kerttulitangara,Dacnis azul,Dacnis Azul,Dacnis Azul,Saí-azul,plava tangara,mėlynasis daknis,توتخوار آبی,Dacnis glas,roosajalg-türkiissirk,Dacne azzurra,藍錐嘴雀,blua dakno,közönéges pitpit,,,,,,,,,,,,,,,
3574,Dacnis egregia,Yellow-tufted Dacnis,1651310,aves,Gelbsteißpitpit,Dacnis egregio,cukrownik maskowy,Dacnis à plumets jaunes,Geelpluimpitpit,Желтоплечий дакнис,キバネヒワミツドリ,Yellow-tufted Dacnis,dacnis d'espatlles grogues,dácnis-d'ombros-amarelos,gulduskdaknis,Yellow-tufted Dacnis,Gultofsad daknis,Gulbuget Sukkerfugl,Yellow-tufted Dacnis,pitpit žltooký,Yellow-tufted Dacnis,цукрист жовтоплечий,黄肩锥嘴雀,Yellow-tufted Dacnis,Yellow-tufted Dacnis,Yellow-tufted Dacnis,Yellow-tufted Dacnis,Yellow-tufted Dacnis,žutoramena tangara,Yellow-tufted Dacnis,توتخوار جقهزرد,Yellow-tufted Dacnis,Yellow-tufted Dacnis,,黃簇錐嘴雀,flavtufa dakno,,,,,,,,,,,,,,,,
