common_name_th

นกกระจ้อยคอดำ

นกกระจ้อยคอขาว
























เหยี่ยวนกกระจอกใหญ่




นกเงือกคอแดง





นกกิ้งโครงหัวสีนวล

นกเอี้ยงหงอนก้นลาย
นกเอี้ยงควาย

นกเอี้ยงหงอน
นกเอี้ยงชวา


นกเอี้ยงสาริกา







นกพงนาหิมาลัย




นกพงคิ้วดำ


นกพงนาพันธุ์จีน
นกพงนาพันธุ์อินเดีย












นกพงใหญ่พันธุ์ญี่ปุ่น
นกพงปากยาว











นกพงใหญ่พันธุ์อินเดีย


นกพงนาพันธุ์แมนจูเรีย







นกกะเต็นสร้อยคอสีน้ำตาล




นกศิวะปีกสีฟ้า



นกปีกลายตาขาว


นกศิวะหางสีตาล

นกเด้าดิน













นกติ๊ดหัวแดง






นกขมิ้นน้อยปีกสีเรียบ

นกขมิ้นน้อยธรรมดา
นกขมิ้นน้อยสีเขียว















อีแร้งดำหิมาลัย








นกแอ่นพันธุ์หิมาลัย







นกแอ่นรังดำ



































นกกินปลีหางยาวคอสีฟ้า

นกกินปลีแดงหัวไพลิน



นกกินปลีหางยาวเขียว


นกกินปลีหางยาวคอดำ

นกกินปลีคอแดง
นกกินปลีแดง


















































นกกิ้งโครงแกลบแก้มสีน้ำตาลแดง
นกกิ้งโครงแกลบหลังม่วงดำ










เป็ดแมนดาริน










นกจาบฝนเสียงสวรรค์








นกกะเต็นน้อยธรรมดา

นกกะเต็นน้อยแถบอกดำ
นกกะเต็นเฮอคิวลิส
นกกะเต็นน้อยหลังสีน้ำเงิน





นกมุ่นรกสีน้ำตาล

นกมุ่นรกตาแดง
นกมุ่นรกคิ้วดำ



นกมุ่นรกภูเขา
นกมุ่นรกตาขาว

นกปรอดลาย




































นกปรอดโอ่งแก้มเทา
นกปรอดโอ่งหน้าผากเทา

นกปรอดโอ่งท้องสีน้ำตาล
นกปรอดโอ่งเมืองเหนือ
นกปรอดโอ่งไร้หงอน
























นกกระติ๊ดแดง







นกกวัก
















































































นกเอี้ยงหัวสีทอง











































นกหัวโตขาดำ









นกหัวโตทรายใหญ่

นกหัวโตทรายเล็ก





นกหัวโตมลายู



นกหัวโตขายาว

เป็ดหางแหลม








เป็ดปีกเขียว












เป็ดหัวเขียว
เป็ดเทาพันธุ์อินเดีย






เป็ดเทาพันธุ์จีน

นกปากห่าง































นกอ้ายงั่ว












นกเงือกสีน้ำตาลคอขาว
นกเงือกปากดำ
นกเงือกสีน้ำตาล



นกน็อดดี้


ห่านเทาปากสีชมพู



ห่านคอขาว


ห่านหัวลาย





นกจับแมลงสร้อยคอขาว
นกจับแมลงคอขาวหน้าแดง
















นกแก๊ก, นกแกง

นกเงือกดำ















นกกินปลีคอสีน้ำตาล




นกกินปลีคอสีน้ำตาลแดง


นกกินปลีสีเรียบ









นกเด้าดินอกแดง






นกเด้าดินทุ่งพันธุ์รัสเซีย



นกเด้าดินสวน














นกเด้าดินทุ่งใหญ่
นกเด้าดินอกสีชมพู
นกเด้าดินพันธุ์ไซบีเรีย

นกเด้าดินทุ่งเล็ก







นกกระเรียนพันธุ์ไทย



































































































