common_name_el







Σημυδόσπιζα




















Ξεφτέρι



























Λευκόφρυδη Ποταμίδα
Τσιχλοποταμίδα







Θαμνοποταμίδα


Τσιχλοποταμίδα της Βασόρας




Ψαθοποταμίδα






Νεροποταμίδα
Βαλτοποταμίδα





Σχοινοποταμίδα
Καλαμοποταμίδα


Παπυροποταμίδα
























Ακτίτης
Κηλιδωτός Ακτίτης











Αιγίθαλος












Αιγωλιός













Μαυρόγυπας
































































































































Νυφόπαπια








Σιταρήθρα
Ασιατική Σιταρήθρα
Λευκόπτερη Σιταρήθρα




Γραμμωτή Μικρογαλιάντρα

Κοινή Άλκα
(Ευρωπαϊκή) Αλκυόνη





















Βραχοπέρδικα
Νησιώτικη Πέρδικα
Πετροπέρδικα



Κοκκινοπέρδικα





































Αλωπόχηνα





























































































Μικρή Αμμογαλιάντρα
Μεγάλη Αμμογαλιάντρα


























































Θαλασσοσφυριχτής

Στεποσφυριχτής







(Μεγάλος) Ερημοσφυριχτής

Μικρός Ερημοσφυριχτής




Μικροσφυριχτής






Ψαλίδα








(Ευρωπαϊκό) Κιρκίρι












Πρασινοκέφαλη Πάπια






























































Ασπρομέτωπη Χήνα
Σταχτόχηνα

Λευκόχηνα


Νανόχηνα
Χωραφόχηνα



























































Ωχροκελάδα
Κοκκινοκελάδα






Κελάδα της Μογγολίας



Δασοκελάδα












Θαλασσοκελάδα
Λιβαδοκελάδα
Διπλοκελάδα

Νεροκελάδα του Ειρηνικού


Μακρόραπμφη κελάδα

Νεροκελάδα


Δεντροκελάδα
























































































































Μικροσταχτάρα

(Κοινή) Σταχτάρα












