common_name_se







Ummolcizáš




















Dihtti



















Šilljomaina







Giedderuoššehas
Rásttesruoššehas




KappVerderuoššehas


Suovkaruoššehas


Basranruoššehas




Tamariskaruoššehas




Ásiaruoššehas

Suotnjoruoššehas
Jeaggeruoššehas





Goalšoruoššehas
Rávraruoššehas


Papyrusruoššehas
























Gáddeviroš
Amerihkágáddeviroš











Baðošgaccet












Idjaloddi













Čáhppesráhtogoaskin
Čarggesjeaggevuonccis



































Vuoktahálka
Páhpegoihálka





















































Ruksessoadjatrupiala
























Mantsuriastárra










Mandarinčiksa
Hearvasuorsá






Sáttoviehkkeleivvoš

Leivvoš
Ásialeivvoš
Vilgessoadjaleivvoš
Rasoleivvoš
Mongoliasáttoleivvoš


Uhcaleivvoš

Hálka
Gonagasfiskár





















Báktevuonccis
Várrevuonccis
Juovvavuonccis



Ruksesvuonccis














Cielláš






















Niillačuonjá




















Ruksestigerbeibboš








































































Uhcasáttoleivvoš
Sáttoleivvoš



Sáttovuonccis
Sáttoábevuonccis





















































Čáhppesjuolbuvvedat

Káspiabuvvedat







Sáttobuvvedat

Mongoliabuvvedat




Afrihkábuvvedat






Vuojaš





Káhpačiksa


Čiksa


Ruksesnjunčiksa









Stuorravuojaš

Čohkkesduoršu









































Afrihkágearpmaščottá















Čáhppesdirru
Ruškesdirru

Stuoragiljobaš
Ránesčuonjá
Oanehisnjunčuonjá
Muohtačuonjá


Giljobaš
Čuonjá
Indiačuonjá
Rossičuonjá




















































Kanáriacivkkán




Gieddecivkkán
Sieðgacivkkán






Mongoliacivkkán
Duottarcivkkán


Sibirjjácivkkán












Boaððocivkkán
Niitocivkkán
Stuorracivkkán

Jeaggecivkkán


Guhkesnjuncivkkán

Várrecivkkán


Muorracivkkán


Sáttoguorga










































































