common_name_sl







brezovček




















skobec



















žalostna majna







čipkasta raca
















rumenokljuni viharnik
zelenortski viharnik
sivokljuni viharnik






































































































































egipčanska podhujka










podhujka
zlata podhujka













nubijska podhujka






rdečevrata podhujka









apalaški frfotavček
mali frfotavček







lišček
konopeljščica



prelestni gozdomec







škrlatec









rožnati škrlatec
kavkaški škrlatec

dolgorepi kalin




puščavski škrlatec










kratkoprsti vrabec




























obvodni cikovtnik

samotni cikovtnik


aljaški cikovtnik

smrekov cikovtnik





















rdeča lastovka












































senegalski kukal














črna njorka





































mejačica



črna mejačica




kratkoprsti plezalček

dolgoprsti plezalček


















črnobeli pasat


svilnica



srebrni vodomec
azurni vodomec
buruški vodomec
vijoličasti vodomec
pasasti vodomec
admiralski vodomec
triprsti vodomec
sulaveški vodomec
platinasti vodomec
modrobeli vodomec
moluški vodomec
spremenljivi vodomec
žalobni vodomec
filipinski vodomec
novoirski vodomec
guadalkanalski vodomec
pritlikavi vodomec

novobritanski vodomec

papuanski vodomec
sulški vodomec
otoški vodomec




















temni dimnik






















































komatni deževnik

ameriški komatni deževnik
kildir





























sredozemski škrjanec






















ovratničarska droplja


belolična čigra
beloperuta čigra
črna čigra













zelenec







pritlikavi pasat
amazonski pasat
zeleni pasat
gozdni pasat









































































škrjančji strabec




severnoameriški legen















rjavoglavi galeb

sivoglavi galeb
zalivski galeb



ameriški rečni galeb
rečni galeb


beloprsa mala kukavica



















diamantni fazan
zlati fazan











































bela štorklja



črna štorklja







































povodni kos



















































palestinski medoses























kačar



rjavi lunj



