common_name_is







Auðnutittlingur




















Sparrhaukur



















Hjarðmænir







Dvalsöngvari
Reyrsöngvari




Kjarrsöngvari


Elrisöngvari


Álmsöngvari




Vatnasöngvari




Óttusöngvari

Fenjasöngvari
Seljusöngvari





Síkjasöngvari
Sefsöngvari


Stilksöngvari
























Lindastelkur
Dílastelkur











Skottmeisa












Skálmugla













Kuflgammur
Rákarella



































Toppklumba
Páklumba





















































Blettasóti
























Hvítstari










Mandarínönd
Brúðönd






Beltalævirki

Sönglævirki
Steflævirki
Brandlævirki
Graslævirki
Saltlævirki


Stúflævirki

Álka
Bláþyrill





















Þyrnihæna
Berghæna
Steinhæna



Sandhæna














Haftyrðill






















Nílarönd




















Tígurstrildi








































































Faldlævirki
Auðnalævirki



Völuhæna
Skrækhæna





















































Strandlóa

Leirlóa







Auðnalóa

Hjarðlóa




Fitjalóa






Grafönd





Núpönd


Urtönd


Mýrönd









Stokkönd

Brúnönd







































Indíaskutli

Rauðskutli















Svartþerna
Brúnþerna

Blesgæs
Grágæs
Heiðagæs
Snjógæs


Fjallgæs
Akurgæs
Taumgæs
Mjallgæs




















































Hrauntittlingur




Sandtittlingur
Torftittlingur






Brumtittlingur
Svarðtittlingur


Skógtittlingur












Strandtittlingur
Þúfutittlingur
Vingultittlingur

Heiðatittlingur


Grjóttittlingur

Fjalltittlingur


Trjátittlingur


Mótrana





















































































































Skíðsvölungur
Eysvölungur
Múrsvölungur





Ljásvölungur





Forksvölungur
Fölsvölungur

Niðsvölungur
Skassörn


Gullörn
Haukörn

Gammörn
Steppuörn
Hræörn

Kafförn



































