common_name_ar




























بوهة أوراسية



بُوهةٌ عَرَبيّة


زمير وردي







ذهبية العين











علجوم شائع

علجوم أخضر إفريقي
علجوم شينجيانغ
علجوم بيرين الأخضر









كروان اوراسي
كروان سنغالي












حوام شائع




حوام مسرول








حوام طويل الساقين

















بلشون مخطط








مدرع عاري الذيل جنوبي
















































بطة موسكوفية









قبرة هيومي

قبرة قصيرة الاصابع كبيرة


















دريجة بيضاء
دريجة ألبية
دريجة بيردية
دريجة حمراء
دريجة عريضة المنقار
دريجة كروانية
دريجة عجزاء



دريجة سوداء الظهر
دريجة صغيرة


دريجة شرسة
دريجة شبه مكففة

دريجة حمراء الرقبة
دريجة طويلة الأصابع
دريجة برتقالية الصدر
دريجة تمنكية
دريجة كبيرة











تيتي أسود الجبهة
تيتي أطلسي










قشة ذو خصلات الشعر الصفراء الداكنة

قشة ذو الرأس الصفراء الداكنة
قشة ذو الرأس الأبيض
قشة مألوفة

قشة ويد
قشة ذو خصلات الشعر السوداء


فقمة الفراء الشمالية















جلم ماء كوري

جلم ماء مخطط





























جمل عربي



































































ابن آوى الآسيوي
كلب
قيوط
ابن آوى
ذئب رمادي
ذئب شرقي
ذئب أحمر
























ماعز مستأنس
وعل ألبي
وعل إسباني
يحمور أوروبي
يحمور سيبيري
سيرو تايواني
سبد مصري










سبد اوروبي














سبد نوبي

























حسون أوروبي












حسون وردي شائع

















حسون وردي سنائي










دوري الصخر الشاحب










قندس أمريكي
قندس أوراسي



























كابياء برازيلية






قشة قزم غربي
كبوشي ابيض الجبهة الأكوادوري
كبوشي كولومبي أبيض الوجه
كبوشي مصدوم الرأس
كبوشي البنمي ذو الوجه الأبيض

كبوشي أبيض الجبهة المتغير
كبوشي أبيض الجبهة البيروفي



سنونو أحمر العجز




















































ديكر هارفي















وحيد القرن الأبيض

منجبي رشيق
















غينون أحمر الذيل
غينون كامبل
غينون مشورب
غينون لوي
غينون أزرق
غينون مونا
غينون دي برازا
غينون نقطة الأنف الكبير
غينون منقط الأنف الأصغر
غينون مونا المتوج
أبو حناء الأحراش الأحمر



أبو حناء الأحراش الأسود
ثعلب السافانا





















إلكة
أيل أحمر
أيل السيكا
صياد السمك أبقع


هازجة سيتي

































مدرع مشعر كبير



































































زقزاق مطوق


























تيتي الشيطان
تيتي أسود











ساكي ملتحي شمالي















حبارى شرقية


خرشنة هجينة
خرشنة بيضاء الجناح
خرشنة سوداء













حسون خضيري




سعدان مالبروك
سعدان الفرفت
سعدان تنتالوس


































































































نورس بني الرأس

نورس رمادي الرأس
نورس مستدق المنقار




نورس اسود الرأس


وقواق ديدريك

















ذئب ذو العرف














































لقلق ابيض



لقلق اسود







































غطاس أبيض الحنجرة



















































عصفور الشمس الفلسطيني























عقاب الثعابين



مرزة المستنقعات الاوراسية




مرزة الدجاج
مرزة الشمال

مرزة بغثاء



مرزة منتاجو









































هازجة مروحية الذنب































وقواق ارقط كبير


عقاب رقطاء كبرى

عقاب رقطاء صغرى
بطة طويلة الذيل




































خفاش شمالي

خفاش بني كبير





شرشور الكرز





































شيهم قزم مشعر مكسيكي
شيهم الباراغواي القزم المشعر
























































كولبس أبيض وأسود
كولبس الملك

زاغ زرعي




















حمام صخري

حمام بري



حمام الغاب/ ورشان





















ظربان خنزيري الأنف الأمزوني
ظربان موليناوي خنزيري الأنف
ظربان خنزيري الأنف الأمريكي












نو أزرق




































































شقراق أوروبي




















































غراب شمالي
غراب ابقع







غراب القيظ


















غداف
غراب ادرع



غراب دوري





















































سمان شائع- فري




















































مرعة افريقية


سلوى


























































زباب أبيض الأسنان الكبير
ضبع رقطاء























فوسا










































وقواق شائع





وقواق مشرقي







باكا السهول

كلب بري آسيوي




هَازِجَةٌ مُغَرِّدَةٌ شَرْقِيَّةٌ
هازجة بيضاء الحنجرة الكبرى
هازجة أم نظارة
هازجة حدائقية شرقية
هازجة بيضاء الحنجرة صغرى



هَازِجَةٌ مُغَرِّدَةٌ غَربِيّةٌ

هازجة عربية

هازجة سردينيا الرأساء
هازجة قبرصية
هازجة منتري الرأساء
هازجة الصحراء
هازجة موشحة
هازجة روبل





الدراج - الكروان العسلي










قرقف أزرق




















































































تم التندرا
تم صافر

تم صامت


















































































































أغوطي ازارا
أغوطي متوج
أغوطي أمريكا الوسطى


دصيور غربي
دصيور ببري



جدجد الشجرأبيض الوجه




سنونو أبيض البطن الاسيوي


سنونو أبيض البطن
حوت أبيض

































نقار الخشب السوري






بطة صافرة بنية


بطة صافرة صغيرة

وبر جنوبي
وبر غربي






















































































































درانغو رمادي
































































كابياء باتاغونية

























حنكور





































































































































































بلشون اسود


بلشون ابيض صغير
بلشون الصخر









تيرا


























حدأة سوداء الجناح



ميلو






فيل آسيوي















زغبة الحديقة الأوربية












درسة صفراء الصدر
درسة حمراء الرأس


درسة زرقاء
درسة قمحية


درسة الصخر
درسة شامية


درسة ذهبية





درسة الشعير




درسة صنوبرية
درسة سوداء الرأس



درسة صغيرة
درسة صدئية


درسة القصب




درسة مخططة

































قضاعة بحرية


















































حمار
حصان
حمار الزرد السهلي
حُمَّرَةٌ دَنِيَّةٌ
حُمَّرَةٌ عَرَبيّةٌ










قبرة مقرنة
قبرة تمنك القرناء





قبرة سوداء متوجة
قبرة كستنائية الراس

شيهم أمريكا الشمالية
فقمة ملتحية
قنفذ أوروبي
قنفذ أبيض الصدر الشمالي











أبو الحناء الأوروبي

سعدان الباتاس








































حوت رمادي

شمعي المنقار الشائع










حوت صائب جنوبي
حوت شمال الأطلسي الصائب


















زقزاق أوراسي



















ليمور أبيض الرأس
ليمور بني شائع
ليمور حقيقي



أسد البحر ستيلر


























فضي المنقار هندي
جلاجو إبري المخالب الجنوبي






















































































شقراق عريض المنقار







صيدناني سيبيري


















صقر حر

صقر الغزال

يؤيؤ
صقر الغروب




صقر اليونورا







عويسق


شاهين







شويهين

عوسق
لزيق










قط أليف
قط بري

خاطف الذباب تايجي
خاطف الذباب المطوق












خطاف الذباب الأبقع





خاطف الذباب أحمر الصدر





خاطف الذباب شبه المطوق




















































دراج أسود


















فرقاط صغير








شرشور ظالم-صلنج

شرشور جبلي








غرة أوراسية


