common_name_tr
Abeille Kolibrisi
Kızıl Yüzlü Ötleğen
Siyah Yüzlü Ötleğen
Sarı Karınlı Ötleğen
Küpeli Guan
Diken Yanaklı Balkuşu
Sivri Gagalı İspinoz
Huş İsketesi
Nişancı
Al Gözlü Dikengaga
Sarı Belli Dikengaga
Gri Dikengaga
Tasmanya Dikengagası
Batılı Boz Dikengaga
Boz Dikengaga
Dağ Dikengagası
Çizgili Dikengaga
Papua Dikengagası
Sarı Dikengaga
Kahverengi Dikengaga
Keten Belli Dikengaga
Gri Sırtlı Dikengaga
Kestane Belli Dikengaga
Hercai Kılgaga
Kızıl Enseli Kılgaga
Ak Gözlü Akantiz
Acanthoventris drewseni
Madagaskar Atmacası
Atmaca
Ovambo Atmacası
Gri Karınlı Atmaca
Kızıl Karınlı Atmaca
Amerika Atmacası
Kızıl Boyunlu Boynuzgaga
Damara Kayabülbülü
House Cricket
Spanish House-Cricket
Çita
Yakalı Çiğdeci
Gri Enseli Çiğdeci
Boz Çiğdeci
Tepeli Çiğdeci
Kurşuni Çiğdeci
Dere Çiğdecisi
Büyük Çiğdeci
Cava Çiğdecisi
Ak Enseli Çiğdeci
Ak Çiğdeci
Çiğdeci
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
Sarı Kaşlı Arapbülbülü
Narrow-toed Feather-tailed Glider
Taklacı Sepetören
Kiritimati Kamışçını
Doğu Kamışçını
Büyük Kamışçın
Mangareva Kamışçını
Tuamotu Kamışçını
Avustralya Kamışçını
Kara Kaşlı Kamışçın
Kap Verde Kamışçını
Tahiti Kamışçını
Küt Kanatlı Kamışçın
Kuzey Kamışçını
Millerbird Kamışçını
Küçük Bataklık Kamışçını
Basra Kamışçını
Guam Kamışçını
Cook Adaları Kamışçını
Murea Kamışçını
Bülbülümsü Kamışçın
Bıyıklı Kamışçın
Güney Markiz Adaları Kamışçını
Forster Kamışçını
Madagaskar Kamışçını
Aguihan Kamışçını
Uzakdoğulu Büyük Kamışçın
Uzun Gagalı Kamışçın
Sarı Kamışçın
Çalı Kamışçını
Kuzey Markiz Adaları Kamışçını
Nauru Kamışçını
Rimitara Kamışçını
Rodrigez Kamışçını
Büyük Bataklık Kamışçını
Kındıra Kamışçını
Saz Kamışçını
Seyşeller Kamışçını
Çin Kındıra Kamışçını
Nil Kamışçını
Caroline Adası Kamışçını
Henderson Kamışçını
Mançurya Kamışçını
Pitcairn Kamışçını
Pagan Kamışçını
Sert Derili Tiranület
Burmeister Tiranületi
İncili Tapakola
Akbaba Beçtavuğu
Bogenvil Yalıçapkını
Malay Yalıçapkını
Mindanao Yalıçapkını
Benekli Yalıçapkını
Yeşil Sırtlı Yalıçapkını
Göğsü Yazılı Yalıçapkını
Mavi Kanatlı Minla
Egerton Yazılıkanadı
Tayvan Yazılıkanadı
Tepeli Yazılıkanat
Gözlüklü Yazılıkanat
Kara Takkeli Yazılıkanat
Çizgili Yazılıkanat
Sarıca Minla
Gri Başlı Yazılıkanat
Dere Düdükçünü
Benekli Düdükçün
Afrika Jakanası
Madagaskar Jakanası
Çilli Kolibri
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Forest Chirping Frog
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
Clark Batağanı
İnce Gagalı Batağan
Uzun Kuyruklu Baştankara
Kara Gerdanlı Uzunkuyruk
Küçük Uzunkuyruk
Kül Rengi Uzunkuyruk
Gri Gerdanlı Uzunkuyruk
Kızıl Alınlı Uzunkuyruk
Ak Yüzlü Uzunkuyruk
Ak Boğazlı Uzunkuyruk
Büyük İora
Ak Kuyruklu İora
İora
Yeşil İora
Kızıl Benekli Baykuş
Paçalı Baykuş
Bermuda Paçalı Baykuşu
Sarışın Paçalı Baykuş
Kumral Paçalı Baykuş
Vogelkop Egoteli
Dağ Egoteli
Yazılı Egotel
Maluku Egoteli
Avustralya Egoteli
Kedimsi Egotel
Yeni Kaledonya Egoteli
Yıldızlı Egotel
Karimui Egoteli
Wallace Egoteli
Kara Akbaba
Çizgili Yelve
İmpala
Giant Elephant Bird
İbikli Megapod
Küpeli Megapod
Pas rengi fare kangurusu
Ameline Yelyutanı
Guam Yelyutanı
Himalaya Yelyutanı
Seyşeller Yelyutanı
Maskaren Adaları Yelyutanı
Beyaz Yuvalı Yelyutan
Dağ Yelyutanı
Maluku Yelyutanı
Caroline Adası Yelyutanı
Polinezya Yelyutanı
Siyah Çorba Yelyutanı
Filipin Yelyutanı
Çıplak Bacaklı Yelyutan
Markiz Adaları Yelyutanı
Mayr Yelyutanı
Üç Parmaklı Yelyutan
Palau Yelyutanı
Sunda Yelyutanı
Atiu Adası Yelyutanı
Ak Sokumlu Yelyutan
Avustralya Yelyutanı
Malabar Yelyutanı
Vanikoro Yelyutanı
Yanardağ Yelyutanı
Whitehead Yelyutanı
And Ebabili
Güneyli Alaca Ebabil
Alaca Ebabil
Gabon Çakırı
Afrika Çakırı
Kahküllü Alklet
