common_name_mk







огнено конопјарче
тенкоклун галеб




езерски галеб



































































штрк



црн штрк







































воден ќос











































































орел змијар



блатна еја




полска еја


степска еја



ливадска еја









































































цуцулеста кукавица


голем орел кликач

мал орел кликач
долгоопашеста патка












































дебелоклун црешар


































































































чавка




















див гулаб

горски гулаб



гулаб гурмиш









































































































модроврана




















































гавран
сива врана
црна врана






полска врана













































































потполошка























































крекс






























































































































кукавица




















црвеногушесто грмушарче
обично грмушарче
наочаресто грмушарче
источно-медитеранско грмушарче
мало грмушарче







мало црноглаво грмушарче



дамчесто грмушарче

















сина сипка




















































































мал лебед
жолтоклун лебед

црвеноклун лебед




































































































































градска ластовичка






























белогрб клукајдрвец

голем клукајдрвец

сириски клукајдрвец


среден клукајдрвец

















































































































































































































































мал клукајдрвец







црн клукајдрвец










































































































































мала бела чапја

















































































црвеногрла стрнарка
голема стрнарка


планинска стрнарка


црногрла стрнарка
жолтогрла стрнарка





градинарска стрнарка





црноглава стрнарка



мала стрнарка



блатна стрнарка








































































































ушеста чучулига
























црвеногушка











































































жолтоного блатарче







































































































































































планински сокол

ловџиски сокол

мал сокол





медитерански сокол







степска ветрушка


сив сокол







сокол ластовичар

ветрушка
сина ветрушка














беловрато муварче












црноглаво муварче





црвеногушесто муварче





шарено муварче
















































































обична ѕвингалка

северна ѕвингалка








црна лиска




















































цуцулеста чучулига
















обична бекасина





голема бекасина









зеленонога блатна кокошка
























































сојка






белец
голем морски нуркач

мал морски нуркач











дебелоклуна рибарка

























































































































црнокрила блатна ластовица


блатна ластовица





















мала кукумјавка



























































































































сив жерав



































морски корморан









































брадест мршојадец




белоглав мршојадец

























остригар




















