common_name_lv







parastais ķeģis
gredzenpīle
brūnkaklis
cekulpīle

ķerra

baltacis
lielais brūnkaklis
melncekula zīlīte
melnpieres cekulzīlīte
ozolu zīlīte
kadiķu zīlīte
iemauktu zīlīte









bambusu irbe

zilkrūšu irbe










prēriju tilbīte



zeltgalvas ķauķis





bērgalvas ķauķis



baltausu kolibri


































































sarkanausu dzenis


































ciedru zīdaste
zīdaste
Japānas zīdaste
apkakles mežirbe







rudais dumpis

brūnais dumpis
sīkais dumpis
melnais dumpis

Amerikas dumpis
mazais dumpis



Ķīnas dumpis
lielais dumpis
pundurdumpis












rudvēdera īsspārnis

zilais īsspārnis



īsknābja kairīte
raibā kairīte
garknābja kairīte


















melngalvas zoss
Kanādas zoss
Bafina zoss
baltvaigu zoss
sarkankakla zoss

















baltspārnu papagailis





punktainais ūpis
tuksneša ūpis

ūpis




baltā pūce
Amerikas ūpis
sārtais trompetsvilpis
gaišais trompetsvilpis





mazā nira
gaigala
Islandes nira
















Bulvera vētrasputns
Žuanina vētrasputns



punktainais lielacis


lielacis
Senegālas lielacis


varžu klijāns


baltacu klijāns

tumšais klijāns



īsastes klijāns
peļu klijāns

kalnu klijāns
rudastes klijāns
Japānas klijāns
bikšainais klijāns
rudais klijāns
pelēkais klijāns


platspārnu klijāns
Himalaju klijāns
karaliskais klijāns

garkāju klijāns



prēriju klijāns



melnais klijāns









svītrainais gārnis

zaļais gārnis























































muskuspīle








sēmā stērste
tievknābja cīrulis

īspirkstu cīrulis
rudgalvas cīrulis


Lapzemes stērste
bērkakla stērste
losā stērste











smailastes šņibītis
gaišais šņibītis
parastais šņibītis
garspārnu šņibītis
lielais šņibītis
dūņšņibītis
līkšņibītis
baltsprākles šņibītis
garstilbu šņibītis
jūras šņibītis
Aļaskas šņibītis
tundras šņibītis
trulītis
mazais trulītis
klinšu šņibītis
gugatnis
smilšu šņibītis
lāpstknābītis
sarkankakla šņibītis
garpirkstu trulītis
mazais gugatnis
Temminka šņibītis
garknābja šņibītis
