common_name_et
smaragdkurk-koolibri
pisi-rädilind
mustpõsk-rädilind
bambuse-rädilind
sireenhoko
Spiny-cheeked Honeyeater
Peg-billed Finch
urvalind
õõne-nürisaba
mallee-sirilind
täpiklaup-sirilind
hall-sirilind
kiripugu-sirilind
lääne-sirilind
maltsa-sirilind
queenslandi sirilind
triip-sirilind
mägi-sirilind
kold-sirilind
ruskelaup-sirilind
eukalüpti-sirilind
mulga-sirilind
õõne-sirilind
vöö-meelind
manisk-meelind
oru-sirilind
Acanthoventris drewseni
madagaskari raudkull
raudkull
savanni-raudkull
selvakull
mägi-raudkull
ameerika raudkull
nudi-sarvlind
Rockrunner
Toakilk
Spanish House-Cricket
Gepard
kaelus-mainakuldnokk
hõbe-mainakuldnokk
sulawesi mainakuldnokk
hiina mainakuldnokk
džungli-mainakuldnokk
kalda-mainakuldnokk
pühvli-mainakuldnokk
jaava mainakuldnokk
Vinous-breasted Myna
hele-mainakuldnokk
mainakuldnokk (ssp. harilik mainakuldnokk)
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
draviidi bülbül
Narrow-toed Feather-tailed Glider
Pink-legged Graveteiro
kiritimati roolind
padu-roolind
rästas-roolind
mangareva roolind
tuamotu roolind
austraalia roolind
mustkulm-roolind
kapverdi roolind
polüneesia roolind
lammi-roolind
aed-roolind
havai roolind
bantu roolind
mesopotaamia roolind
saipani roolind
mangaia roolind
moorea roolind
mikroneesia roolind
mustpea-roolind
markiisaarte roolind
huahine roolind
madagaskari roolind
aguijani roolind
ida-roolind
himaalaja roolind
tarna-roolind
soo-roolind
nukuhiva roolind
nauru roolind
rimatara roolind
maskareeni roolind
papüüruse-roolind
kõrkja-roolind
tiigi-roolind
seišelli roolind
ruuge-roolind
lõuna-roolind
karoliini roolind
valge-roolind
mandžuuria roolind
pitcairni roolind
pagani roolind
Rough-legged Tyrannulet
White-fronted Tyrannulet
Ocellated Tapaculo
hund-pärlkana
loit-safiirlind
malai safiirlind
mindanao safiirlind
helmes-safiirlind
roheselg-safiirlind
viir-safiirlind
Blue-winged Minla
Rusty-fronted Barwing
Taiwan Barwing
Hoary-throated Barwing
Spectacled Barwing
Black-crowned Barwing
Streaked Barwing
Chestnut-tailed Minla
Streak-throated Barwing
vihitaja (jõgitilder)
ameerika vihitaja
suur-lootoselind
madagaskari lootoselind
tähnikkoolibri
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Forest Chirping Frog
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
hele-suurpütt
suurpütt
sabatihane
mustkurk-sabatihane
pisi-sabatihane
kaelus-sabatihane
hiina sabatihane
mägi-sabatihane
pakistani sabatihane
himaalaja sabatihane
suur-mangolind
džungli-mangolind
mangolind
mets-mangolind
töbikakk
karvasjalg-kakk (laanekakk)
bermuda töbikakk
laukkakk
lõuna-töbikakk
vööt-õõnesorr
mägi-õõnesorr
viir-õõnesorr
maluku õõnesorr
austraalia õõnesorr
suur-õõnesorr
uuskaledoonia õõnesorr
jõgi-õõnesorr
Karimui Owlet-nightjar
nõlva-õõnesorr
raisakotkas
triiphuik
Impala
elevantlind
sagar-rihukana
lott-rihukana
Rufous Bettong
filipiini pruunsalangaan
mariaani salangaan
põhjasalangaan
seišelli salangaan
maskareeni salangaan
hõrkpesa-salangaan
kõrgmaa-salangaan
maluku salangaan
karoliini salangaan
polüneesia salangaan
sulispesa-salangaan
karvasjalg-salangaan
tõmmusalangaan
markiisaarte salangaan
saalomonisaarte salangaan
kolmvarvas-salangaan
palau salangaan
sammalpesa-salangaan
atiu salangaan
valgepära-salangaan
austraalia salangaan
india salangaan
pruunsalangaan
vulkaanisalangaan
mägisalangaan
andi piiritaja
mägipiiritaja
pugalpiiritaja
punakülg-raudkull
ao-raudkull
tuttörd
papagoiörd
kääbusörd
kiharörd
Gray-green Scrubwren
Bicolored Mouse-Warbler
Papuan Scrubwren
Buff-faced Scrubwren
Vogelkop Scrubwren
Pale-billed Scrubwren
Handsome Sunbird
Apo Sunbird
Fork-tailed Sunbird
Elegant Sunbird
White-flanked Sunbird
Flaming Sunbird
Mrs. Gould's Sunbird
Maroon-naped Sunbird
Fire-tailed Sunbird
Lina's Sunbird
Magnificent Sunbird
Javan Sunbird
Green-tailed Sunbird
Gray-hooded Sunbird
Metallic-winged Sunbird
Black-throated Sunbird
Lovely Sunbird
karmiin-nektarilind
Temminck's Sunbird
Tboli Sunbird
Vigors's Sunbird
Delicate Spiny Reed Frog
Brown Banana Frog
Fornasini's Spiny Reed Frog
Banded Banana Frog
Banana Serotine
kongo paabulind
musttrapp
peegeltrapp
Red-eyed Tree Frog
Mexican Giant Tree Frog
odahaigur
hallpea-lembelind (hallpea-lembepapagoi)
serengeti lembelind (serengeti lembepapagoi)
mopaani-lembelind (mopaani-lembepapagoi)
mustpõsk-lembelind (mustpõsk-lembepapagoi)
akaatsia-lembelind (akaatsia-lembepapagoi)
punapea-lembelind (punapea-lembepapagoi)
roosapõsk-lembelind (roosapõsk-lembepapagoi)
kaelus-lembelind (kaelus-lembepapagoi)
kadaka-lembelind (kadaka-lembepapagoi)
tuhkturpial
kahkturpial
seersantturpial
ruugeõlg-turpial
leekõlg-turpial
kalifornia turpial
mangrooviturpial
kiilas-pärlkana
must-pärlkana
vesiturpial
paduturpial
sooditurpial
manisk-tõmmukoolibri
tähnikrind-tõmmukoolibri
paramo-tõmmukoolibri
türkiis-tõmmukoolibri
turimiquire vedikkoolibri
pilve-vedikkoolibri
vedikkoolibri
Ovate Shieldback
välu-karmiinleevike
kõnnu-kärbsenäpp
leet-kärbsenäpp
White-tailed Shrike-Tyrant
Great Shrike-Tyrant
Gray-bellied Shrike-Tyrant
Black-billed Shrike-Tyrant
Lesser Shrike-Tyrant
jaapani kuldnokk
väike-kuldnokk
valgepõsk-kõutslind
austraalia kõutslind
Tan-capped Catbird
Spotted Catbird
mustpõsk-kõutslind
Ochre-breasted Catbird
Hiidpanda
oaxaca maasidrik
ruske-maasidrik
pruun-maasidrik
mandariinpart
mõrsjapart
akialoa-nestevint
Maui-nui Akialoa
väike-akialoa-nestevint
Kauai Akialoa
Goeldi's Antbird
White-shouldered Antbird
jooksurlõoke
somaali jooksurlõoke
põldlõoke
kagu-põldlõoke
valgetiib-lõoke
kapverdi lõoke
soolaku-väikelõoke
turgi väikelõoke
kalda-väikelõoke
kõnnu-väikelõoke
triip-väikelõoke
alk
jäälind
lasuur-jäälind
tõmmu-jäälind
suur-jäälind
türkiis-jäälind
Malaysian Blue-banded Kingfisher
ametüst-jäälind
koobalt-jäälind
Bubale
Põder
Brown Fulvetta
David's Fulvetta
Yunnan Fulvetta
Black-browed Fulvetta
Huet's Fulvetta
Morrison's Fulvetta
Nepal Fulvetta
Mountain Fulvetta
Brown-cheeked Fulvetta
Javan Fulvetta
triipbülbül (harilik triipbülbül)
Rufous-naped Bellbird
berberi kivikana
aasia kivikana
kalju-kivikana
uiguuri kivikana
