common_name_he







תפוחית שחורת-סנטר
ברנטה לבנת-לחי
ברנטה אדומת-חזה
אווז הוואי





















תאו מים

אוח מדברי

אוח עיטי



אוח ערבי
לילית שלג

חצוצרן מדבר
חצוצרן מונגולי





עבראש לבנוני
עבראש ירוק
עבראש איסלנדי
















סערונית חומה
סערונית הודית






כרוון מצוי
כרוון סנגלי





עקב לבן-עין






עקב חורף



עקב יפני
עקב מכנסיים








עקב עיטי
עקב ערמוני
עקב סוקוטרה

עקב מגוון













אנפית מנגרובים

אנפית ירוקה























































ברבר









עפרונן טיבטי

עפרונן קצר-אצבעות

עפרונן מונגולי

גיבתון לפלנדי













חופית חדת-זנב
חופית לבנה
חופית אלפינית
חופית בירד
חופית להקנית
חרמשית
חופית מגלית
חופית לבנת-שת
חופית תמירונית
חופית ימית
חופית מערבית
חופית כהת-חזה
חופית קטנה
חופית זעירה

לוחם
חופית אמריקנית
חופית כפנית
חופית אדומת-צוואר
חופית ארוכת-אצבעות
חופית זהובת-גחון
חופית טמינק
חופית גדולה













אדום-גרון




שליו קליפורני













שרשיר צווארון
















יסעור גדול
יסעור כף ורדה
יסעור לבן-מצח





























גמל חד-דבשתי



































































תן זהוב
כלב הבית
זאב ערבות
תן אפור
זאב מצוי

זאב אדמוני
























עז הבית
יעל האלפים

אייל הכרמל


תחמס מצרי










תחמס אירופי
תחמס זהוב









תחמס חיוור



תחמס נובי






תחמס חום-צווארון









סבכון קנדי
סבכון שחור-כיפה



קרדינל צפוני



חוחית
בזבוז תרוג
בזבוז קורסיקה










ורדית אירופית









ורדית סיבירית
ורדית גדולה

ורדית ארוכת-זנב




ורדית סיני










דרורית קצרת-אצבעות










בונה קנדי
בונה אירופי
















קיכלי חלוד-גב

קיכלי חלוד-זנב


קיכלי אפור-לחי

קיכלי זיתני





















סנונית מערות












































קוקל סנגלי














אוריה שחורה








קרנף רחב-שפה




























חמריה חלודת-זנב



חמריה שחורה






טפס-עצים אירופי

טפס-עצים קצר-אצבעות













אייל קנדי
אייל אדמוני

פרפור עקוד


צטיה חלודית














































סיס אמריקני






















































חופמי צווארון

חופמי אמריקני
חופמי כפול-צווארון





























עפרוני צפון-אפריקני






















חוברה מדברית
חוברה מערבית

מירומית לבנת-לחי
מירומית לבנת-כנף
מירומית שחורה













ירקון




















































































גיבתונית לבנת-גבה




תחמס אמריקני















שחף חום-ראש

שחף אפור-ראש
שחף צר-מקור




שחף אגמים


קוקיה ירוקה


קוקיה קלאסית
















פסיון סהרוני
פסיון זהוב









































חסידת אבדים
חסידה מזרחית
חסידה לבנה



חסידה שחורה







































אמודאי הנחלים

אמודאי אמריקני
אמודאי אסייתי





זרזיר סגול

צופית סגולה








































צופית בוהקת























חיוויאי הנחשים



זרון סוף




זרון תכול
זרון אמריקני

זרון שדות


זרון עקוד
זרון פס
זרון סוף אפריקני
זרון סוף מזרחי







































תפר































קוקיה מצויצת
קוקיה עקודה

עיט צפרדעים
עיט הודי
עיט חורש
ברווז קרח




































אפלול צפוני

