common_name_ro







Inăriţă




















Uliu păsărar








Ghepard


















Lăcar cafeniu
Lăcar mare







Lăcar nordic







Privighetoare de baltă






Lăcar de pipirig
Lăcar de mlaştină





Lăcar mic
Lăcar de stuf



























Fluierar de munte












Piţigoi codat












Minuniţă













Vultur negru































































































































Raţa mandarin
Raţă de pădure








Ciocârlie de câmp

Ciocârlie cu aripi albe




Ciocârlie mică


Pescăraş albastru























Potârniche de stâncă









































Gâscă egipteană

























































































































































Prundăraş de sărătură

Prundăraş asiatic







Prundăraş de deşert

Prundăraş mic de deşert











Raţă suliţar








Raţă mică












Raţă mare






























































Gârliţă mare
Gâscă de vară
Gâscă cu cioc scurt
Gâscă de zăpadă


Gârliţă mică
Gâscă de semănătură
Gâscă de India


























































Fâsă de câmp
Fâsă roţiatică























Fâsă de stâncă
Fâsă de luncă
Fâsă asiatică






Fâsă de munte


Fâsă de pădure















































































Albină










































Drepnea neagră












Drepnea palidă





Acvilă de munte
Acvilă porumbacă

Acvilă de câmp
Acvilă de stepă



































































Egretă mare

Stârc cenuşiu





Stârc de cireadă





Stârc roşu











Stârc galben






Pietruş









































































































Ciuf de câmp


Ciuf de pădure





