common_name_ko







홍방울새




















새매



























북방쇠개개비




쇠개개비
















개개비















우수리개개비





















깝작도요












오목눈이


























독수리








황해쇠칼새





























작은바다오리












































































쇠찌르레기
북방쇠찌르레기










원앙









종다리



북방쇠종다리





물총새










































작은바다쇠오리



















































흰배뜸부기




























































































































흰물떼새





큰흰물떼새



큰왕눈물떼새

왕눈물떼새









큰물떼새

고방오리








쇠오리












청둥오리

미국오리





흰뺨검둥오리






















































쇠기러기
회색기러기

흰기러기
흰머리기러기
개리
흰이마기러기
큰부리큰기러기
줄기러기

큰기러기

























































붉은가슴밭종다리






쇠밭종다리
흰등밭종다리


힝둥새













풀밭종다리
큰밭종다리
한국밭종다리
밭종다리




옅은밭종다리


나무밭종다리


캐나다두루미

재두루미





















































































































검은등칼새










쇠칼새
"	칼새"






검독수리
흰배줄무늬수리

흰죽지수리
초원수리



































































대백로

왜가리

황로





중백로



붉은왜가리


붉은발슴새


사대양슴새

쇠부리슴새
흰날개해오라기









꼬까도요






























































회색숲제비




























큰부리개개비













쇠부엉이


칡부엉이










































참매





















금눈쇠올빼미
