common_name_pt
colibri-de-garganta-esmeralda
felosa-de-faces-ruivas
felosa-de-faces-pretas
felosa-do-bambu
guano-carunculado
papa-mel-de-faces-espinhosas
tentilhão-de-bico-pontiagudo
pintarroxo-de-queixo-preto
carriça-neozelandesa-verde
acantiza-de-cauda-castanha
acantiza-d'uropígio-amarelo
acantiza-cinzenta
acantiza-da-tasmânia
acantiza-ocidental
acantiza-de-bico-fino
acantiza-das-montanhas
acantiza-estriada
acantiza-murina
acantiza-amarela
acantiza-pequena
acantiza-d'uropígio-creme
acantiza-ardósia
acantiza-d'uropígio-castanho
papa-mel-ocidental
papa-mel-oriental
arbusteiro-da-tasmânia
Acanthoventris drewseni
gavião-malgaxe
gavião
gavião-do-ovambo
tauató-pintado
gavião-ruivo
tauató-miúdo
calau-nepalês
salta-pedras
Grilo-doméstico
Spanish House-Cricket
Chita
mainá-de-colar
mainá-birmanês
mainato-de-barriga-branca
mainato-de-poupa
mainá-da-selva
mainá-ribeirinho
mainá-grande
mainá-javanês
mainá-vinoso
mainá-d'asa-preta
mainato-de-mascarilha-amarela
Rã-grilo-de-Blanchard
Rã-grilo-costeira
Rã-grilo-da-Flórida
bulbul-de-sobrancelha-amarela
Gambá-planador-cauda-de-pluma
acrobata
felosa-de-kiritimati
felosa-agrícola
rouxinol-grande-dos-caniços
felosa-de-mangareva
felosa-de-tuamotu
felosa-australiana
felosa-de-sobrancelha-preta
tchota-cana
felosa-do-taiti
felosa-de-swinhoe
felosa-das-moitas
felosa-familiar
felosa-pequena-dos-pântanos
rouxinol-grande-do-iraque
felosa-de-saipan
felosa-das-cook
felosa-de-moorea
felosa-de-guam
felosa-real
felosa-das-marquesas
felosa-de-forster
felosa-dos-pântanos-malgaxe
felosa-de-aguijan
rouxinol-grande-oriental
felosa-dos-pamir
felosa-aquática
felosa-palustre
felosa-de-nuku-hiva
felosa-de-nauru
felosa-de-rimatara
felosa-de-rodrigues
felosa-grande-dos-pântanos
felosa-dos-juncos
rouxinol-pequeno-dos-caniços
felosa-das-seicheles
felosa-estriada
felosa-ruidosa
felosa-das-carolinas
felosa-de-henderson
felosa-da-manchúria
felosa-de-pitcairn
felosa-de-pagán
piolhinho-chiador
tiraninho-de-testa-branca
tapaculo-ocelado
pintada-vulturina
guarda-rios-de-bigodes
guarda-rios-de-colar-ruivo
guarda-rios-de-mindanau
guarda-rios-mosqueado
guarda-rios-monge
guarda-rios-escamado
síbia-d'asa-azul
síbia-ferrugínea
síbia-da-formosa
síbia-nepalesa
síbia-de-lunetas
síbia-de-barrete-preto
síbia-estriada
síbia-de-garganta-estriada
síbia-do-iunão
maçarico-das-rochas
maçarico-pintado
jaçanã-africana
jaçanã-malgaxe
colibri-pintalgado
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Rã-de-dedos-finos-com-manchas-escuras
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
mergulhão-de-clark
mergulhão-americano-ocidental
chapim-rabilongo
chapim-de-garganta-preta
chapim-pigmeu
chapim-fuliginoso
chapim-de-garganta-cinzenta
chapim-de-testa-ruiva
chapim-de-faces-brancas
chapim-de-garganta-branca
iora-grande
iora-de-cauda-branca
iora-d'asa-escura
iora-verde
mocho-serrador-nortenho
mocho-funéreo
mocho-serrador-das-bermudas
caburé-acanelado
mocho-pardo
noitibó-coruja-das-arfak
noitibó-coruja-montês
noitibó-coruja-listado
noitibó-coruja-das-molucas
noitibó-coruja-australiano
noitibó-coruja-grande
noitibó-coruja-da-nova-caledónia
noitibó-coruja-estrelado
karimui owlet-nightjar
noitibó-coruja-de-wallace
abutre-preto
franga-d'água-raiada
Impala
Giant Elephant Bird
peru-do-mato-de-cabeça-azul
peru-do-mato-de-waigeo
Rufous Bettong
andorinhão-de-mindanau
andorinhão-das-marianas
andorinhão-dos-himalaias
andorinhão-das-seicheles
andorinhão-das-mascarenhas
andorinhão-de-ninho-comestível
andorinhão-montês
salangana-das-molucas
andorinhão-das-carolinas
andorinhão-polinésio
andorinhão-de-ninho-preto
andorinhão-filipino
andorinhão-de-tarso-nu
andorinhão-das-marquesas
andorinhão-de-mayr
andorinhão-tridáctilo
andorinhão-de-palau
andorinhão-das-sundas
andorinhão-de-atiu
andorinhão-cintado
andorinhão-australiano
andorinhão-malabar
andorinhão-uniforme
andorinhão-vulcânico
andorinhão-de-whitehead
andorinhão-andino
andorinhão-serrano
andorinhão-de-garganta-branca
gavião-de-flancos-ruivos
açor-africano
torda-de-penacho
torda-papagaio
mérgulo-anão
mérgulo-de-bigodes
acantiza-esverdeada
acantiza-bicolor
acantiza-da-papua
acantiza-de-faces-canela
acantiza-de-doberai
acantiza-de-bico-pálido
beija-flor-formoso
beija-flor-de-bolton
beija-flor-de-cauda-forcada
beija-flor-elegante
beija-flor-de-flancos-brancos
beija-flor-flamejante
beija-flor-de-gould
beija-flor-de-guimarás
beija-flor-cauda-de-fogo
beija-flor-de-lina
beija-flor-magnífico
beija-flor-javanês
beija-flor-de-cauda-verde
beija-flor-de-capuz-cinzento
beija-flor-d'asa-metálica
beija-flor-de-garganta-preta
beija-flor-filipino
beija-flor-carmesim
beija-flor-de-temminck
tboli sunbird
beija-flor-de-vigors
Delicate Spiny Reed Frog
Brown Banana Frog
Sapo-das-folhas-gigante
Banded Banana Frog
Morcego-das-bananas
pavão-congolês
sisão-d'asa-preta
sisão-d'asa-branca
Perereca-de-olhos-vermelhos
Perereca-gigante-mexicana
garça-da-mata
inseparável-malgaxe
inseparável-de-fischer
inseparável-do-niassa
inseparável-de-faces-pretas
inseparável-de-cabeça-preta
inseparável-de-cabeça-vermelha
inseparável-de-faces-rosadas
inseparável-de-colar
inseparável-abissínio
asa-de-telha
asa-de-telha-pálido
sargento-d'ombros-vermelhos
sargento-d'ombros-ruivos
sargento-d'asa-vermelha
sargento-tricolor
sargento-d'ombros-amarelos
pintada-de-peito-branco
pintada-preta
carretão/carretão-do-oeste
sargento
sargento-d'olho-pálido
colibri-de-alicia
colibri-condecorado
colibri-ferruginoso
colibri-de-capuz-preto
silfo-venezuelano
silfo-de-cauda-violeta
silfo-de-cauda-azul
Ovate Shieldback
pintarroxo-rubro
papa-moscas-chasco
papa-moscas-pálido
gaúcho-de-cauda-branca
gaúcho-grande
gaúcho-de-barriga-cinza
gaúcho-de-bico-preto
gauchinho
estorninho-de-faces-castanhas
estorninho-dáurico
miador-d'orelhas-brancas
miador-verde
miador-de-barrete-castanho
miador-pintalgado
jardineiro-malhado
miador-de-peito-ocre
Panda-gigante
tico-tico-de-oaxaca
tico-tico-ferrugíneo
tico-tico-de-coroa-ruiva
pato-mandarim
pato-carolino
akialoa-de-oahu
akialoa-de-lanai
akialoa-do-havai
akialoa-de-kauai
formigueiro-de-goeldi
formigueiro-grande
calhandra-de-bico-curvo
cotovia-de-hamerton
laverca
laverca-oriental
