common_name_sv
smaragdstrupe
rostkindad cettia
svartkindad cettia
gulbukig cettia
flikguan
rosanäbbad honungsfågel
spetsnäbbad tangara
gråsiska
klättersmyg
inlandstaggnäbb
gulgumpad taggnäbb
grå taggnäbb
tasmantaggnäbb
västlig taggnäbb
nullarbortaggnäbb
höglandstaggnäbb
strimmig taggnäbb
papuataggnäbb
gul taggnäbb
rostpannad taggnäbb
ockragumpad taggnäbb
gråryggig taggnäbb
rödgumpad taggnäbb
rosthalsad honungsfågel
rostnackad honungsfågel
snårsmyg
Acanthoventris drewseni
madagaskarsparvhök
sparvhök
ovambosparvhök
gråbukig hök
rostbröstad sparvhök
amerikansk sparvhök
rosthalsad näshornsfågel
damarasångare
hussyrsa
Spanish House-Cricket
gepard
halsbandsmajna
burmamajna
sulawesimajna
kinesisk majna
djungelmajna
brinkmajna
tofsmajna
javamajna
vinmajna
svartvingad majna
brunmajna
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
gulgrön bulbyl
Dvärgflygpungmus
akrobatfågel
kiritimatisångare
fältsångare
trastsångare
mangarevasångare
tuamotusångare
australisk rörsångare
svartbrynad rörsångare
kapverdesångare
tahitisångare
kortvingad rörsångare
busksångare
hawaiisångare
mindre sumpsångare
basrasångare
saipansångare
cooksångare
mooreasångare
guamsångare
kaveldunsångare
sydmarquesassångare
läsångare
madagaskarrörsångare
aguijansångare
kinesisk trastsångare
långnäbbad sångare
vattensångare
kärrsångare
nordmarquesassångare
naurusångare
rimatarasångare
rodriguessångare
större sumpsångare
sävsångare
rörsångare
seychellsångare
streckad rörsångare
papyrussångare
karolinersångare
hendersonsångare
amursångare
pitcairnsångare
pagansångare
räffelbent dvärgtyrann
vitpannad dvärgtyrann
pärltapakul
gampärlhöna
mustaschkungsfiskare
rosthalsad kungsfiskare
blåkronad kungsfiskare
fläckkungsfiskare
grönryggig kungsfiskare
fjällig kungsfiskare
blåstjärtad bandvinge
brunpannad bandvinge
taiwanbandvinge
himalayabandvinge
glasögonbandvinge
svartkronad bandvinge
svartstreckad bandvinge
rostkronad bandvinge
brunstreckad bandvinge
drillsnäppa
fläckdrillsnäppa
afrikansk jassana
madagaskarjassana
fläckkolibri
Tusked Frog
Leptodactylus andreae
Leptodactylus araucaria
Leptodactylus hylaedactylus
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
ljus svandopping
mörk svandopping
stjärtmes
rödhättad stjärtmes
javastjärtmes
sotstjärtmes
gråstrupig stjärtmes
svartbrynad stjärtmes
vitkindad stjärtmes
vitstrupig stjärtmes
större iora
vitstjärtad iora
parkiora
grön iora
rostpärluggla
pärluggla
bermudapärluggla
gulpannad pärluggla
brun pärluggla
vogelkopuggleskärra
berguggleskärra
grå uggleskärra
moluckuggleskärra
australisk uggleskärra
större uggleskärra
sotuggleskärra
stjärnuggleskärra
karimuiuggleskärra
vattrad uggleskärra
grågam
rostgumpad sumphöna
Impala
jätteelefantfågel
kambuskhöna
waigeobuskhöna
Råttkänguru
gråsalangan
guamsalangan
himalayasalangan
seychellsalangan
maskarensalangan
vitbosalangan
bergsalangan
Halmaherasalangan
karolinersalangan
polynesisk salangan
svartbosalangan
filippinsalangan
barbent salangan
marquesassalangan
höglandssalangan
papuasalangan
palausalangan
mossbosalangan
atiusalangan
vitgumpad salangan
australisk salangan
malabarsalangan
enfärgad salangan
vulkansalangan
storhuvad salangan
andinsk seglare
vitmönstrad seglare
brokseglare
rödsidig hök
bantuhök
tofsalka
papegojalka
dvärgalka
plymalka
grågrön busksmyg
kastanjebusksmyg
papuabusksmyg
rostmaskad busksmyg
vogelkopbusksmyg
ljusnäbbad busksmyg
