common_name_id
Kolibri dagu-zamrud
Kangkok pucat










Elang kecil
Elang setiwel


Kangkok besar
Kangkok melayu




Kangkok kumis



Gagang-bayang belang















Kapinis-jarum asia
Kapinis-jarum ungu
Kapinis-jarum pantat-putih
Kapinis-jarum gedang














Layang-layang api

Layang-layang batu




















Ceret tanimbar























Petrel-badai matsudairae


Petrel-badai swinhoe







Walet raksasa


Burung-sepatu teratai


Dara-laut caspia




Paok kepala-biru
Paok sintau


Paok pancawarna





Paok schneider
































Kolibri-nilam sepuh-emas
Kolibri-nilam leher-kesumba

Kancilan buah


Kolibri ekor-gunting















































Perkici dagu-merah
Perkici kepala-merah
















Kehicap ranting




Brinji emas











Brinji emas




Brinji emas
































































Elang-ikan kecil
Elang-ikan kepala-kelabu
Elang-laut perut-putih





Elang hitam














Ifrita topi-biru



















Pemandu-lebah asia





















Brinji mata-putih

Empuloh leher-kuning




Burung-sepatu jengger

Kecembang gadung
















Cucak kerinci
Brinji bergaris


Brinji gunung


























Sikatan zaitun
Sikatan kuning
Berencet loreng




Beluk ketupa






Beluk jampuk




Kolibri kepala-ungu

























Burung-madu rimba
Cekakak batu

Kolibri-beludru gunung
















Kapasan alis-hitam
Kapasan halmahera

Kepudang-sungu kecil
Kapasan alis-putih


Kapasan sulawesi




Kapasan alis-hitam

Kapasan kemiri


Kapasan sayap-putih





Ratna-gunung leher-kecubung
Ratna-gunung leher-ungu
Ratna-gunung leher-putih
Ratna-gunung leher-biru
Ratna-gunung perut-putih
Ratna-gunung dada-hijau
Ratna-gunung leher-hijau
Kolibri leher-delima
















































Cica matahari
















Bentet coklat














Bentet kelabu





Bentet loreng































Berkecet siberia












































Mesia telinga-perak
















































Burung-madu hitam
Burung-madu pengantin
Burung-madu bakau










































Bangau besar
Bangau tongtong


















Kolibri-kemukus ekor-hijau
Kolibri-kemukus ekor-hitam


Kolibri pirang









Kolibri leher-putih













Robin dagu-hitam
Curik bali



Sikatan besar










Mandar-padi dada-kelabu
Mandar-padi sintar


Isap-madu anis
Isap-madu zaitun
Isap-madu buru
Isap-madu timor

Isap-madu australia

Cikukua seram
Isap-madu wetar
Isap-madu babar





Trinil-lumpur paruh-panjang
Trinil-lumpur asia













Biru-laut ekor-blorok
Biru-laut ekor-hitam








































Cendrawasih sutera






Ceret coklat







Kecici lurik




Ceret jawa






Buntut-sudip ajaib
Bondol rawa

Bondol dada-coklat



Bondol kalimantan
Bondol paruh-besar


Bondol perut-putih
Bondol jawa
Bondol haji


Bondol taruk
Bondol jayawijaya

Bondol topi-putih

Bondol kepala-pucat
Bondol peking
Bondol pancawarna
Bondol buba
Bondol tunggir-putih
Bondol hitam
Bondol dada-hitam
Bondol arfak



























Cendrawasih kerah
Kolibri-nona jambul-putih
Kolibri-nona jambul-pendek
Kolibri-nona meriah
Kolibri-nona jambul-merah
Kolibri-nona surai-totol
Kolibri-nona jambul-hitam
Kolibri-nona jerumbai
Kolibri-nona kuncir
Kolibri-nona merak
Kolibri-nona payet
Kolibri-nona kupu-kupu


Elang-alap kepala-kelabu
Elang-alap jambul









Elang perut-karat
Semidan kalimantan


Sempidan merah
Sempidan biru
Sempidan sumatera





Serindit maluku
Serindit papua



Serindit sangihe
Serindit paruh-merah
Serindit flores
Serindit melayu

Serindit jawa
Serindit sula
Serindit sulawesi








Kasturi tengkuk-ungu
Kasturi ternate

Kasturi kepala-hitam














































Cendrawasih gagak

Taktarau besar
Taktarau melayu
























Cendrawasih elok
Cucuk-pisau dada-kuning
Cucuk-pisau dada-hitam





Elang kelelawar










Maleo senkawor



Ciung-air pongpong












Uncal ambon


Uncal buau


Uncal kelam

Uncal paruh-hitam

Uncal kouran



Uncal loreng



















Pelanduk asia
Pelanduk kalimantan
Pelanduk ekor-pendek






Asi topi-jelaga
Asi dada-kelabu
Asi topi-sisik
Asi kumis
Asi besar










Malia sulawesi











Cikrak-peri bahu-putih




Cikrak-peri kaisar

















Manucodia kilap
Manukodia leher-keriting

Manukodia jobi



Itik bungalan
































Bondol coreng
Bondol coreng





Kapinis-jarum papua















Mandar kasuari

Melampitta besar
Walik dada-merah
Walik wompu
Cica-koreng jawa
Gosong sula
Gosong pilipina
Gosong papua

Gosong kelam
Gosong kelam biak




Gosong kaki-merah
Gosong tanimbar



































Elang-alap doria




Caladi batu
Caladi badok







Melampitta kecil












































Burung-buah gelap

Burung-buah bertutul
Burung-buah dada-kuning
Burung-buah hitam

Burung-buah bercoreng
Burung-buah kipasan
Gelatuk-batu gunung
Poksai hitam
Poksai hitam







Robin tunggir putih
Robin kelabu

Robin biru-abu
Robin bakau
Robin sayap-putih






Puyuh hitam


Pitohui hitam









Melidektes belford

Melidektes vogelkop
Melidektes alis-coklat
Melidektes alis-kuning
Melidektes elok
Raja-udang paruh-kait





Isap-madu paruh-panjang
Isap-madu jelaga
Isap-madu jenggot-pendek





Meliphaga aru















Melipotes pipi-kuning
Melipotes arfak

Isap-madu leher-putih





Cikukua halmahera
Kolibri lebah
Kolibri verbena
Jagal hitam





































Cirik-cirik sulawesi











Kirik-kirik senja







Kirik-kirik australia

Kirik-kirik laut




Kirik-kirik biru








Buntut-besi sisik
Buntut-besi leher-ungu
Buntut-besi leher-api
Buntut-besi perija
Buntut-besi neblina
Buntut-besi hitam
Buntut-besi tembaga
Buntut-besi ningrat
Buntut-besi wilis


Burung-sepatu picisan






















Pecuk-padi belang
Pecuk-padi kecil







Kolibri-zamrud topi-salju
Kolibri-zamrud ekor-putih
Kolibri-zamrud kepala-tembaga
Tuwur kerdil

Sikatan perut-kuning
Sikatan perut-emas



Alap-alap capung
Alap-alap dahi-putih















Nuri-kate dada-merah

Nuri-kate geelvink
Nuri-kate topi-kuning

Nuri-kate pusio
Pelatuk kijang














Biang-ranting ekor-ramping


Cucak kuricang
Cucak sakit-tubuh
Cucak gelambir-biru












Elang paria
























Mino emas
Mino muka-kuning













Branjangan jawa














Ciung-air coreng
Ciung-air jawa
Ciung-air coreng


