common_name_id
Kolibri dagu-zamrud
Paruh-kodok dulit

Paruh-kodok jawa
Paruh-kodok kepala-pucat

Paruh-kodok kepala-pucat

Paruh-kodok bintang





Enggang jambul

















Pelatuk pangkas


















Koronet ekor-kuning
Koronet lembayung-ungu
Koronet dada-merah























Bambangan merah

Bambangan coklat

Bambangan hitam






Bambangan kuning















Cingcoang coklat
Cingcoang biru








































































Enggang papan

Enggang cula













Petrel bulwer
Petrel palsu




Wili-wili semak





Elang kelabu
Elang sayap-coklat








Elang buteo































Kokokan laut













Kakatua putih


Kakatua koki
Kakatua tanimbar


Kakatua maluku


Kakatua rawa
Kakatua-kecil jambul-kuning












Wiwik maluku

Wiwik dada-coklat
Wiwik kipas
Wiwik kelabu


Wiwik lurik
Wiwik rimba









































Kedidi ekor-panjang
Kedidi putih


Kedidi merah
Kedidi paruh-lebar
Kedidi golgol








Trinil rumbai


Kedidi leher-merah
Kedidi jari-panjang

Kedidi temminck
Kedidi besar

Tuwur topi-putih

Isap-madu daun
Isap-madu leher-hitam

















Biang-ranting kecubung
























Junai emas



Penggunting-laut belang
Puyuh tarun-tarun
Takur ampis

Buntut-kacip azazil
Buntut-kacip elok



Kolibri anna
Kolibri costa


Madi-hijau perut-biru
Madi-hijau kecil
Madi-hijau whitehead










































Kepudang-sungu emas






Kepak-sabel belukar
Kepak-sabel diamantina
Kepak-sabel duida
Kepak-sabel ekor-putih
Kepak-sabel lazuardi
Kepak-sabel ungu
Kepak-sabel dada-merah
Kepak-sabel dada-kelabu
Kepak-sabel santa marta
Kepak-sabel napo





























































Cabak kota




Cabak sulawesi


Cabak kolong








Cabak kelabu

Cabak maling



Cabak mees






Cabak gunung

























Cekakak tunggir-putih

Tokhtor kalimantan

Tokhtor sumatra


































Kehicap emas

Kehicap tengkuk-putih








Kasuari kerdil
Kasuari gelambir-ganda
Kasuari gelambir-tunggal










































Layang-layang gua





Kepudang-sungu kerdil





















Bubut alang-alang
Bubut hitam

Bubut sulawesi
Bubut biak


Bubut goliath



Bubut pini


Ceret gunung
Bubut ayam
Bubut teragop

Bubut besar

























































































Raja-udang biru-langit




Udang api
Udang-merah sulawesi


Udang-merah kerdil





Raja-udang kecil






Biang-ranting santa marta
Biang-ranting esmeralda
Biang-ranting kecil
Biang-ranting dokoh
Biang-ranting jourdan
Biang-ranting perut-putih





Srigunting kerdil











Kedasi australia

Kedasi emas
Wiwik paruh-panjang
Kedasi telinga-putih
Kedasi laut
Kedasi telinga-hitam
Kedasi gunung







Burung-madu belukar
Delimukan zamrud

Delimukan timur
Nuri hitam

Nuri coklat

Nuri aru
Cucuk-duri janggut-pelangi
Cucuk-duri ekor-perunggu
Cucuk-duri zaitun
Cucuk-duri topi-merah
Cucuk-duri jubah-biru








Jurai-baja pantat-putih
Jurai-baja ekor-perunggu


















Perkici kerdil
Perkici josephina

Perkici papua

Perkici punggung-hitam
Perkici buru














Cikrak-peri paruh-lebar









Kolibri-zamrud leher-kerlap
Kolibri-zamrud payet-nilam












Namdur coklat

Namdur dada-kuning


Tawau dada-hitam



Dara-laut kumis
Dara-laut sayap-putih







Kolibri-zamrud perut-putih
Kolibri-nilam dagu-putih
Kolibri-nilam leher-biru
Kolibri perut-ungu
Kolibri-nilam dagu-biru




















































Cica-daun sayap-biru
Cica-daun kecil



Cica-daun sayap-biru
Cica-daun dahi-emas


Cica-daun besar
Cica-daun sumatera









Kolibri-zamrud ekor-hijau
Kolibri-zamrud kebun
Kolibri-zamrud paruh-merah
Kolibri-zamrud perut-kerlap
Kolibri-zamrud barat
Kolibri-zamrud ekor-biru
Kolibri-zamrud ciribikueta
Kolibri-zamrud ekor-pendek
Kolibri-zamrud tembaga
Kolibri-zamrud ekor-sempit


























Camar kepala-coklat





Camar kepala-hitam

Camar perak






Kedasi zamrud
Kedasi ungu




Pelatuk tunggir-emas



Pelatuk kundang

Kenari melayu


Kolibri cempaka-mirah






Pelatuk kuduk-kuning
Pelatuk kumis-kelabu
Pelatu mearh


Kolibri bakau
Kolibri-zamrud dada-putih
Kolibri leher-nilam
Kolibri hijau-cemerlang
Kolibri-nilam kepala-biru
Kolibri-nilam humboldt
Kolibri-zamrud perut-polos
Kolibri perut-nilam
Kolibri-nilam ekor-emas
Kolibri-zamrud puspawarna





















Cendrawasih raja



Bangau sandang-lawe



Bangau storm


















Celucuk timor



Cica-koreng timur




Cica-koreng timur


Anis-puyuh ajax























Burung-madu sumba





















Burung-madu sriganti























Burung-madu matari













Elang-ular jari-pendek



Elang-rawa katak
Elang-rawa coklat
Elang-rawa tutul








Elang-rawa tangling


Elang-rawa timur
Elang-rawa timur

Ekek layongan


Ekek geling

























Cici merah







Cici padi



























Raja-udang pipi-ungu


Bubut-pacar jambul
























Cikrak-peri topi-merah










Cendrawasih loria
Cendrawasih jambul



















Maleo paruh-hitam












Ciung-mungkal jawa
Ciung-mungkal sumatera



Inka-pengantin perut-emas
Inka perunggu
Inka hijau
Inka-pengantin perija
Inka-pengantin ekor-emas
Inka-pengantin leher-biru
Inka gould
Inka-pengantin pelangi
Inka-pengantin sayap-kuning
Inka-pengantin kelam
Inka-pengantin ekor-putih
Inka hitam
Inka kalung
Inka-pengantin leher-ungu
Inka cokelat
























Celak-ungu cemerlang
Celak-ungu kecil
Celak-ungu cokelat
Celak-ungu pantat-putih
Celak-ungu meksiko















Walet sapi

Walet linci







Anis-bentet kelabu
Anis-bentet kecil
kancilan jelaga











Merpati-hutan perak













Merpati batu
















Merpati hutan-metalik
















































Isap-madu kalung-coklat






























Kucica hutan




Kucica ekor-kuning
Kucica kampung

Kucica hutan









Tiong-lampu sulawesi
Kepudang-sungu maluku
Kepudang-sungu belang
Kepudang-sungu kelek-coklat
Kepudang-sungu paruh-tebal


Kepudang-sungu buru

Kepudang-sungu jawa


Kepudang-sungu gunung
Kepudang-sungu tunggir-putih
Kepudang-sungu mata-kuning
Kepudang-sungu kepala-hitam



Kepudang-sungu besar

Kepudang-sungu kartula
Kepudang-sungu halmahera
Kepudang-sungu topeng
Kepudang-sungu kelabu
Kepudang-sungu sumatera
Kepudang-sungu biru





Kancilan ungu
Anis-bentet sangihe






Munguk papua
















Gagak hutan
Gagak flores

Gagak kepala-coklat






Gagak kampung





Gagak orru









Gagak rumah


Gagak kelabu
Gagak sulawesi
Gagak banggai
Gagak halmahera
Gagak hutan

Madi kelam





























































Jagal papua

Jagal leher-putih















































































































Tangkar cetrong





Merpati murung













































Kangkok erasia

Kangkok sulawesi

Kangkong sunda
Kangkok india
Kangkok ranting


Kangkok ranting

Sikatan kepala-abu
Sikatan matari





































































Tepus emas
Tepus merbah-sampah
Tepus pipi-perak


