common_name_af





























Ovambosperwer

Rooiborssperwer


Rotsvoël


Jagluiperd










Indiese Spreeu








Grootrietsanger









Kaapse Rietsanger
Basrarietsanger












Europese Rietsanger




Rooibruinrietsanger
Europese Vleisanger
Hermansrietsanger



























Gewone Ruiter

Grootlangtoon






































Gestreepte Riethaan
Rooibok

































Afrikaanse Sperwer





































Swartvlerkkorhaan
Witvlerkkorhaan





Niassaparkiet
Swartwangparkiet


Rooiwangparkiet























Grootvlieëvanger
Muiskleurvlieëvanger












































Blouvisvanger
Hartebees














Asiatiese Patrys










































Kolgans
















Rooikopvink
Bandkeelvink




Rooiassie


























































Dikbekwewer


Gewone Rivierpadda
Kaapse Rivierpadda



Laeveldklappertjie






Namiblewerik











Turkse Skaap










































Rooikopwewer

Bleekstrandkiewiet

Asiatiese Strandkiewiet







Grootstrandkiewiet
Vaalstrandkiewiet
Mongoolse Strandkiewiet



Rooibandstrandkiewiet
Geelborsstrandkiewiet






Pylsterteend





Teeleend





Rooibekeend









Groenkopeend


Swarteend


Geelbekeend


Oopbekooievaar



























Gewone Willie






Slanghalsvoël








Koekoekvink







Grootbruinseeswael (Grootbruinsterretjie)
Kleinbruinseeswael (Kleinbruinsterretjie)
















Oranjeborssuikerbekkie









Gryskapokvoël

Kaapse Kapokvoël




















Blousuikerbekkie




Bloukeelsuikerbekkie









Kortstertkoester

Bosveldkoester

Rooikeelkoester


Gewone Koester

Klipkoester






Bergkoester

Donkerkoester
Gestreepte Koester





Miombokoester (Boskoester)









Nicholsonkoester




Boomkoester
Vaalkoester




Gaffelantilope
































Gryskleinjantjie

Geelborskleinjantjie







Swartkopkleinjantjie



Ruddkleinjantjie



Bandkeelkleinjantjie

Bosloerie (Narinatrogon)


















Kerguelense Stormvoël
