common_name_no
smaragdstrupekolibri
rustmaskesanger
svartmaskesanger
hvitbrynsanger
gulflikhokko
rosennebbhonningeter
spissnebbspurv
gråsisik
skogklatresmett
krattornsmett
gulgumptornsmett
gråtornsmett
tasmantornsmett
vesttornsmett
alvetornsmett
bergtornsmett
stripetornsmett
papuatornsmett
gultornsmett
bruntornsmett
okergumptornsmett
mulgatornsmett
kastanjegumptornsmett
trikolorhonningeter
prydhonningeter
klatrekrattsmett
Acanthoventris drewseni
madagaskarhauk
spurvehauk
ovambohauk
gråbukhauk
rødbrystspurvehauk
parulahauk
rødhalshornfugl
steinhopper
hussiriss
Spanish House-Cricket
Gepard
kragestær
burmastær
gresstær
krøllstær
krattstær
landsbystær
engstær
javastær
vinstær
svartvingestær
hyrdestær
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
solbylbyl
Flygepungmus
rosenfotgraveteiro
bokikokikosanger
åkersanger
trostesanger
mangarevasanger
tuamotusanger
australkjerrsanger
tvebrynsanger
kappverdesanger
tahitisanger
buttvingesanger
busksanger
nihoasanger
dunkjevlesanger
mesopotamiasanger
saipansanger
kerearakosanger
mooreasanger
nattergalsanger
tamarisksanger
sørmarquesassanger
raiateasanger
damsanger
aguijansanger
orienttrostesanger
stornebbsanger
vannsanger
myrsanger
nordmarquesassanger
naurusanger
rimatarasanger
rodriguessanger
papyrussanger
sivsanger
rørsanger
seychellsanger
mingsanger
stentorsanger
karolinesanger
hendersonsanger
mandsjuriasanger
pitcairnsanger
pagansanger
panløvtyrann
hvitpanneløvtyrann
perletapakulo
gribbperlehøne
mustasjeisfugl
skjeggisfugl
mindanaoisfugl
dråpeisfugl
munkeisfugl
blåhodeisfugl
blåvingeminla
maskegittervinge
brunhodegittervinge
gråbrystgittervinge
brillegittervinge
svartkronegittervinge
svartstripegittervinge
oransjekroneminla
brunstripegittervinge
strandsnipe
flekksnipe
afrikabladhøne
madagaskarbladhøne
flekkolibri
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Forest Chirping Frog
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
gulnebbdykker
svanedykker
stjertmeis
praktstjertmeis
pygmémeis
eikestjertmeis
sølvhakestjertmeis
ruststjertmeis
