common_name_fr
Colibri d'Abeillé
Bouscarle à moustaches
Bouscarle à face noire
Bouscarle à sourcils blancs
Pénélope aburri
Méliphage à bavette
Bec-en-cheville gris
Sizerin flammé
Xénique grimpeur
Acanthize troglodyte
Acanthize à croupion jaune
Acanthize gris
Acanthize de Tasmanie
Acanthize sobre
Acanthize d'Iredale
Acanthize des montagnes
Acanthize ridé
Acanthize de Nouvelle-Guinée
Acanthize nain
Acanthize mignon
Acanthize à croupion beige
Acanthize ardoisé
Acanthize à croupion roux
Méliphage festonné
Méliphage à bec grêle
Séricorne de Tasmanie
Acanthoventris drewseni
Épervier de Madagascar
Épervier d'Europe
Épervier des Ovampos
Autour à ventre gris
Épervier menu
Épervier brun
Calao à cou roux
Achétopse à flancs roux
Grillon domestique
Spanish House-Cricket
Guépard
Martin à collier
Martin birman
Martin cendré
Martin huppé
Martin forestier
Martin des berges
Grand Martin
Martin de Java
Martin à tête blanche
Martin à ailes noires
Martin triste
rainette grillon de Blanchard
rainette grillon du nord
rainette grillon du sud
Bulbul à sourcils d'or
Acrobate pygmée
Synallaxe à pattes roses
Rousserolle de la Ligne
Rousserolle isabelle
Rousserolle turdoïde
Rousserolle de l'Astrolabe
Rousserolle des Tuamotu
Rousserolle d'Australie
Rousserolle de Schrenck
Rousserolle du Cap-Vert
Rousserolle à long bec
Rousserolle de Swinhoe
Rousserolle des buissons
Rousserolle obscure
Rousserolle à bec fin
Rousserolle d'Irak
Rousserolle de Saipan
Rousserolle des Cook
Rousserolle de Moorea
Rousserolle rossignol
Lusciniole à moustaches
Rousserolle des Marquises
Rousserolle de Raiatea
Rousserolle de Newton
Rousserolle d'Aguijan
Rousserolle d'Orient
Rousserolle à grand bec
Phragmite aquatique
Rousserolle verderolle
Rousserolle de Nuku Hiva
Rousserolle de Nauru
Rousserolle de Rimatara
Rousserolle de Rodrigues
Rousserolle des cannes
Phragmite des joncs
Rousserolle effarvatte
Rousserolle des Seychelles
Rousserolle sorghophile
Rousserolle stentor
Rousserolle des Carolines
Rousserolle de Henderson
