common_name_lt
Abeilija
rudapetis juodasis trupialas
Raudonsparnis trupialas
trejkrāsu strazds
geltonpetis juodasis trupialas
Baltakrūtė patarška
Juodoji patarška
vienspalvis juodasis trupialas
Geltonsparnis trupialas
geltonakis juodasis trupialas
Purpurinis saulės spindulėlis
Baltakrūtis saulės spindulėlis
Ryškusis saulės spindulėlis
Juodakuodis saulės spindulėlis
Venesuelinis silfas
Violetinis silfas
Ilgauodegis silfas
Ovate Shieldback
Himalaju svilpis
Rudoji savaninė musinukė
Blyškioji savaninė musinukė
Baltauodegis medšarkinis tironas
Didysis medšarkinis tironas
Pilkapilvis medšarkinis tironas
Juodasnapis medšarkinis tironas
Mažasis medšarkinis tironas
bērvaigu strazds
Daūrinis mažasis varnėnas
baltagurklis katpaukštis
žaliasis katpaukštis
Tan-capped Catbird
Spotted Catbird
juodaausis katpaukštis
Ochre-breasted Catbird
Didžioji panda
oachakinė aimofila
rudoji aimofila
rudgalvas zvirbulis
Mandarininė antis
Miškinė antis
Grėjaus havajinis dalgiasnapis
Maui-nui Akialoa
tamsusis havajinis dalgiasnapis
Kauai Akialoa
Geldžio devynbalsė skruzdinukė
Baltapetė devynbalsė skruzdinukė
Margasparnis kukutinis vieversys
Mažasis kukutinis vieversys
Dirvinis vieversys
Mažasis vieversys
Baltasparnis stepinis vieversys
Salinis vieversys
Azijinis trumpapirštis vieversys
Turkestaninis trumpapirštis vieversys
Indinis trumpapirštis vieversys
Pilkasis trumpapirštis vieversys
Somalinis trumpapirštis vieversys
Alka
Tulžys
Melsvasis tulžys
Melsvanugaris tulžys
Didysis tulžys
Mėlynausis tulžys
Malaizinis melvanugaris tulžys
Žydrasis tulžys
Apykaklėtasis tulžys
Karvinė antilopė
Briedis
Rudoji alcipa
David's Fulvetta
Yunnan Fulvetta
Juodabruvė alcipa
Huet's Fulvetta
Pilkaskruostė alcipa
Nepalinė alcipa
Malajinė alcipa
Rudaskruostė alcipa
Javinė alcipa
Geltondryžis bulbiulis
Rausvasprandis švilpikas
Barzdotasis keklikas
Kalninis keklikas
Akmeninis keklikas
Prževalskio keklikas
Juodagalvis keklikas
Juodagurklis keklikas
Raudonkojis keklikas
Madagaskarinis mėlynasis karvelis
mauricinis mėlynasis karvelis
Seišelinis mėlynasis karvelis
Komorinis mėlynasis karvelis
Dviuodegis keistasis tironas
Stačiauodegis keistasis tironas
Krūmyninė višta
Floury Baker
Kaštoninė aleta
Raudonkepurė aleta
Geltonveidė amazonė
Molukinė karališkoji lora
Žaliasparnė karališkoji lora
Raudonoji karališkoji lora
Mažoji alka
Žvynuotakrūtis mėgdžiotojas
Juodžalė markata
Misisipės aligatorius
Spotted-thighed Poison Frog
Striped Rocket Frog
Allard's Ground Cricket
Striped Ground Cricket
Gray Ground Cricket
Choctaw ground cricket
Southern Ground Cricket
Salt-Marsh Ground Cricket
Tinkling Ground Cricket
Walker's Ground Cricket
Pilkaskruostis alofoiksas
Baltagurklis alofoiksas
Palavaninis alofoiksas
Rudasis alofoiksas
Pūkuotagurklis alofoiksas
Geltonpilvis alofoiksas
Bornėjinis alofoiksas
Gray-cheeked Bulbul
Rusvagalvė kregždė
Egiptinė žąsis
Kervazo egiptinė žąsis
mauricinė žąsis
Ursine Howler Monkey
Red-handed Howler Monkey
Juodasis staugūnas
Spix's Red-handed Howler Monkey
Rudasis staugūnas
Guianan Red Howler Monkey
Mantled Howler Monkey
Gvatemalinis staugūnas
Bolivian Red Howler Monkey
Raudonasis staugūnas
Maranhao Red-handed Howler Monkey
Catalonian Midwife Toad
Iberian Midwife Toad
Common Midwife Toad
raudongalvė amadina
raudondryžė amadina
Mažoji Naujosios Gvinėjos liepsnelė
Didžioji Naujosios Gvinėjos liepsnelė
Tigrinė astrilda
alyvinė astrilda
zebras vasknibis
Vienspalvė vištelė
Sulavesinis amaurornis
Talaudo salų amaurornis
Raudonuodegis amaurornis
Filipininis amaurornis
Baltakrūtis amaurornis
Ecuadorian Seedeater
karizalinė amaurospiza
mėlynoji amaurospiza
