common_name_ml




























യൂറേഷ്യൻ പ്രാപ്പിടിയൻ













കിന്നരിമൈന





നാട്ടുമൈന



മഞ്ഞച്ചിന്നൻ



പാടക്കുരുവി








ഈറ്റപൊളപ്പൻ

























കൈതക്കള്ളൻ
























നീർക്കാട






















അയോറ
















കരിങ്കഴുകൻ



























ചിത്രകൂടൻ ശരപ്പക്ഷി
























































































ചെന്നീലിക്കാളി





















വാനമ്പാടിക്കിളി








ചെറിയ മീൻകൊത്തി



പൊടിപ്പൊന്മാൻ













കാനാച്ചിലപ്പൻ




































































കുങ്കുമക്കുരുവി







കുളക്കോഴി


































































ചെമ്പുവാലൻ വാനമ്പാടി

























































ചെറുമണൽക്കോഴി

കാസ്പിയൻ മണൽക്കോഴി







വലിയ മണൽക്കോഴി

മംഗോളിയൻ മണൽക്കോഴി











വാലൻ എരണ്ട








പട്ടക്കണ്ണൻ എരണ്ട













പുള്ളിച്ചുണ്ടൻ താറാവ്








ചേരാക്കൊക്കൻ































ചേരക്കോഴി


















തവിടൻ നോഡി ആള
ചെറിയ നോഡി ആള








കുറിത്തലയൻ വാത്ത്‌
























പാണ്ടൻ വേഴാമ്പൽ

































ചരൽവരമ്പൻ
ചെങ്കണ്ഠൻ വരമ്പൻ






ബ്ലയ്ത്ത് വരമ്പൻ



പച്ചവരമ്പൻ







മലവരമ്പൻ






വലിയ വരമ്പൻ



വയൽവരമ്പൻ
പാറനിരങ്ങൻ




മരവരമ്പൻ
























































































































അമ്പലംചുറ്റി

മലങ്കൂളൻ








ഹിമാലയൻ ശരപ്പക്ഷി






